State,Measure ID,Measure Name,Score,Footnote,Measure Start Date,Measure End Date
UT,OP_10,Abdomen CT Use of Contrast Material,4.7,,07/01/2013,06/30/2014
UT,OP_11,Thorax CT Use of Contrast Material,1.0,,07/01/2013,06/30/2014
UT,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.5,,07/01/2013,06/30/2014
UT,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.1,,07/01/2013,06/30/2014
UT,OP_8,MRI Lumbar Spine for Low Back Pain,53.0,,07/01/2013,06/30/2014
UT,OP_9,Mammography Follow-up Rates,8.6,,07/01/2013,06/30/2014
VA,OP_10,Abdomen CT Use of Contrast Material,7.2,,07/01/2013,06/30/2014
VA,OP_11,Thorax CT Use of Contrast Material,1.5,,07/01/2013,06/30/2014
VA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.0,,07/01/2013,06/30/2014
VA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.1,,07/01/2013,06/30/2014
VA,OP_8,MRI Lumbar Spine for Low Back Pain,40.3,,07/01/2013,06/30/2014
VA,OP_9,Mammography Follow-up Rates,7.4,,07/01/2013,06/30/2014
VI,OP_10,Abdomen CT Use of Contrast Material,1.5,,07/01/2013,06/30/2014
VI,OP_11,Thorax CT Use of Contrast Material,1.1,,07/01/2013,06/30/2014
VI,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,9.7,,07/01/2013,06/30/2014
VI,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.6,,07/01/2013,06/30/2014
VI,OP_8,MRI Lumbar Spine for Low Back Pain,Not Available,5 - Results are not available for this reporting period.,07/01/2013,06/30/2014
VI,OP_9,Mammography Follow-up Rates,5.9,,07/01/2013,06/30/2014
VT,OP_10,Abdomen CT Use of Contrast Material,3.5,,07/01/2013,06/30/2014
VT,OP_11,Thorax CT Use of Contrast Material,0.8,,07/01/2013,06/30/2014
VT,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.8,,07/01/2013,06/30/2014
VT,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.0,,07/01/2013,06/30/2014
VT,OP_8,MRI Lumbar Spine for Low Back Pain,47.8,,07/01/2013,06/30/2014
VT,OP_9,Mammography Follow-up Rates,9.5,,07/01/2013,06/30/2014
WA,OP_10,Abdomen CT Use of Contrast Material,6.2,,07/01/2013,06/30/2014
WA,OP_11,Thorax CT Use of Contrast Material,0.9,,07/01/2013,06/30/2014
WA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.4,,07/01/2013,06/30/2014
WA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.4,,07/01/2013,06/30/2014
WA,OP_8,MRI Lumbar Spine for Low Back Pain,48.0,,07/01/2013,06/30/2014
WA,OP_9,Mammography Follow-up Rates,8.4,,07/01/2013,06/30/2014
WI,OP_10,Abdomen CT Use of Contrast Material,5.8,,07/01/2013,06/30/2014
WI,OP_11,Thorax CT Use of Contrast Material,0.8,,07/01/2013,06/30/2014
WI,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.7,,07/01/2013,06/30/2014
WI,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.1,,07/01/2013,06/30/2014
WI,OP_8,MRI Lumbar Spine for Low Back Pain,45.3,,07/01/2013,06/30/2014
WI,OP_9,Mammography Follow-up Rates,8.1,,07/01/2013,06/30/2014
WV,OP_10,Abdomen CT Use of Contrast Material,13.8,,07/01/2013,06/30/2014
WV,OP_11,Thorax CT Use of Contrast Material,3.1,,07/01/2013,06/30/2014
WV,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.7,,07/01/2013,06/30/2014
WV,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.7,,07/01/2013,06/30/2014
WV,OP_8,MRI Lumbar Spine for Low Back Pain,46.6,,07/01/2013,06/30/2014
WV,OP_9,Mammography Follow-up Rates,9.1,,07/01/2013,06/30/2014
WY,OP_10,Abdomen CT Use of Contrast Material,13.9,,07/01/2013,06/30/2014
WY,OP_11,Thorax CT Use of Contrast Material,5.4,,07/01/2013,06/30/2014
WY,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.8,,07/01/2013,06/30/2014
WY,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.2,,07/01/2013,06/30/2014
WY,OP_8,MRI Lumbar Spine for Low Back Pain,55.6,,07/01/2013,06/30/2014
WY,OP_9,Mammography Follow-up Rates,8.7,,07/01/2013,06/30/2014
