"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"DC","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","7","0","0","","07/01/2012","06/30/2014"
"DE","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","6","0","0","","07/01/2012","06/30/2014"
"FL","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","159","0","5","","07/01/2012","06/30/2014"
"GA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","81","0","17","","07/01/2012","06/30/2014"
"GU","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"HI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","10","0","2","","07/01/2012","06/30/2014"
"IA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","31","0","3","","07/01/2012","06/30/2014"
"ID","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","12","0","0","","07/01/2012","06/30/2014"
"IL","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","2","119","0","4","","07/01/2012","06/30/2014"
"IN","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","69","0","12","","07/01/2012","06/30/2014"
"KS","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","32","0","10","","07/01/2012","06/30/2014"
"KY","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","52","0","10","","07/01/2012","06/30/2014"
"LA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","58","0","23","","07/01/2012","06/30/2014"
"MA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","54","0","3","","07/01/2012","06/30/2014"
"MD","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"ME","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","16","0","4","","07/01/2012","06/30/2014"
"MI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","2","82","0","6","","07/01/2012","06/30/2014"
"MN","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","38","0","12","","07/01/2012","06/30/2014"
"MO","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","61","0","11","","07/01/2012","06/30/2014"
"MP","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"MS","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","35","0","11","","07/01/2012","06/30/2014"
"MT","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","10","0","2","","07/01/2012","06/30/2014"
"NC","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","77","0","7","","07/01/2012","06/30/2014"
"ND","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","6","0","0","","07/01/2012","06/30/2014"
"NE","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","19","0","0","","07/01/2012","06/30/2014"
"NH","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","13","0","0","","07/01/2012","06/30/2014"
"NJ","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","61","0","3","","07/01/2012","06/30/2014"
"NM","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","21","0","5","","07/01/2012","06/30/2014"
"NV","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","20","0","1","","07/01/2012","06/30/2014"
"NY","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","136","0","14","","07/01/2012","06/30/2014"
"OH","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","114","0","9","","07/01/2012","06/30/2014"
"OK","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","45","0","25","","07/01/2012","06/30/2014"
"OR","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","32","0","1","","07/01/2012","06/30/2014"
"PA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","125","0","20","","07/01/2012","06/30/2014"
"PR","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"RI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","11","0","0","","07/01/2012","06/30/2014"
"SC","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","45","0","7","","07/01/2012","06/30/2014"
"SD","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","7","0","10","","07/01/2012","06/30/2014"
"TN","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","65","0","19","","07/01/2012","06/30/2014"
"TX","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","204","0","54","","07/01/2012","06/30/2014"
"UT","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","21","0","7","","07/01/2012","06/30/2014"
"VA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","65","0","5","","07/01/2012","06/30/2014"
"VI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"VT","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","6","0","0","","07/01/2012","06/30/2014"
"WA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","47","0","1","","07/01/2012","06/30/2014"
"WI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","59","0","4","","07/01/2012","06/30/2014"
"WV","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","26","0","2","","07/01/2012","06/30/2014"
"WY","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","9","0","2","","07/01/2012","06/30/2014"
"AK","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","7","0","0","","07/01/2012","06/30/2014"
"AL","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","86","1","0","","07/01/2012","06/30/2014"
"AR","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","42","0","0","","07/01/2012","06/30/2014"
"AS","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"AZ","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","57","2","0","","07/01/2012","06/30/2014"
"CA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","21","282","4","1","","07/01/2012","06/30/2014"
"CO","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","44","0","1","","07/01/2012","06/30/2014"
"CT","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","29","0","1","","07/01/2012","06/30/2014"
"DC","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","7","0","0","","07/01/2012","06/30/2014"
"DE","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","6","0","0","","07/01/2012","06/30/2014"
"FL","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","157","9","0","","07/01/2012","06/30/2014"
"GA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","102","2","0","","07/01/2012","06/30/2014"
"GU","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"HI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","12","0","0","","07/01/2012","06/30/2014"
"IA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","31","1","0","","07/01/2012","06/30/2014"
"ID","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","11","0","0","","07/01/2012","06/30/2014"
"IL","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","114","9","0","","07/01/2012","06/30/2014"
"IN","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","87","0","0","","07/01/2012","06/30/2014"
"KS","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","52","0","0","","07/01/2012","06/30/2014"
"KY","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","58","3","0","","07/01/2012","06/30/2014"
"LA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","6","86","2","7","","07/01/2012","06/30/2014"
"MA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","58","2","0","","07/01/2012","06/30/2014"
"MD","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"ME","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","18","0","0","","07/01/2012","06/30/2014"
"MI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","14","76","6","0","","07/01/2012","06/30/2014"
"MN","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","47","2","0","","07/01/2012","06/30/2014"
"MO","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","75","1","0","","07/01/2012","06/30/2014"
"MP","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"MS","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","53","4","3","","07/01/2012","06/30/2014"
"MT","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","11","0","0","","07/01/2012","06/30/2014"
"NC","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","6","80","2","0","","07/01/2012","06/30/2014"
"ND","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","7","0","0","","07/01/2012","06/30/2014"
"NE","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","20","0","2","","07/01/2012","06/30/2014"
"NH","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","12","0","0","","07/01/2012","06/30/2014"
"NJ","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","53","7","0","","07/01/2012","06/30/2014"
"NM","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","31","0","0","","07/01/2012","06/30/2014"
"NV","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","21","0","0","","07/01/2012","06/30/2014"
"NY","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","8","150","3","0","","07/01/2012","06/30/2014"
"OH","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","11","118","4","2","","07/01/2012","06/30/2014"
"OK","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","81","2","3","","07/01/2012","06/30/2014"
"OR","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","29","1","0","","07/01/2012","06/30/2014"
"PA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","9","144","1","1","","07/01/2012","06/30/2014"
"PR","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"RI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","9","0","0","","07/01/2012","06/30/2014"
"SC","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","52","2","0","","07/01/2012","06/30/2014"
"SD","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","20","0","1","","07/01/2012","06/30/2014"
"TN","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","97","2","1","","07/01/2012","06/30/2014"
"TX","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","11","299","10","7","","07/01/2012","06/30/2014"
"UT","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","27","0","2","","07/01/2012","06/30/2014"
"VA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","67","5","4","","07/01/2012","06/30/2014"
"VI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"VT","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","5","1","0","","07/01/2012","06/30/2014"
"WA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","10","37","1","0","","07/01/2012","06/30/2014"
"WI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","61","0","0","","07/01/2012","06/30/2014"
"WV","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","27","0","0","","07/01/2012","06/30/2014"
"WY","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","11","0","0","","07/01/2012","06/30/2014"
"AK","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","4","0","3","","07/01/2012","06/30/2014"
"AL","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","5","28","0","27","","07/01/2012","06/30/2014"
"AR","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","20","0","14","","07/01/2012","06/30/2014"
"AS","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"AZ","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","33","5","20","","07/01/2012","06/30/2014"
"CA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","153","4","110","","07/01/2012","06/30/2014"
"CO","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","28","0","15","","07/01/2012","06/30/2014"
"CT","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","22","0","7","","07/01/2012","06/30/2014"
"DC","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","5","0","1","","07/01/2012","06/30/2014"
"DE","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","5","0","1","","07/01/2012","06/30/2014"
"FL","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","5","111","8","39","","07/01/2012","06/30/2014"
"GA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","4","49","1","36","","07/01/2012","06/30/2014"
"GU","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"HI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","5","0","5","","07/01/2012","06/30/2014"
"IA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","21","1","12","","07/01/2012","06/30/2014"
"ID","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","8","0","3","","07/01/2012","06/30/2014"
"IL","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","88","6","27","","07/01/2012","06/30/2014"
"IN","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","53","2","23","","07/01/2012","06/30/2014"
"KS","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","21","1","17","","07/01/2012","06/30/2014"
"KY","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","32","0","25","","07/01/2012","06/30/2014"
"LA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","37","0","31","","07/01/2012","06/30/2014"
"MA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","43","0","14","","07/01/2012","06/30/2014"
"MD","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"ME","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","9","0","9","","07/01/2012","06/30/2014"
"MI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","54","2","32","","07/01/2012","06/30/2014"
"MN","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","19","1","26","","07/01/2012","06/30/2014"
"MO","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","44","2","18","","07/01/2012","06/30/2014"
"MP","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"MS","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","21","0","16","","07/01/2012","06/30/2014"
"MT","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","9","0","1","","07/01/2012","06/30/2014"
"NC","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","57","0","24","","07/01/2012","06/30/2014"
"ND","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","6","0","0","","07/01/2012","06/30/2014"
"NE","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","15","0","6","","07/01/2012","06/30/2014"
"NH","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","11","0","2","","07/01/2012","06/30/2014"
"NJ","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","54","0","8","","07/01/2012","06/30/2014"
"NM","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","8","1","15","","07/01/2012","06/30/2014"
"NV","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","14","0","5","","07/01/2012","06/30/2014"
"NY","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","5","82","2","57","","07/01/2012","06/30/2014"
"OH","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","76","1","40","","07/01/2012","06/30/2014"
"OK","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","28","1","23","","07/01/2012","06/30/2014"
"OR","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","17","0","15","","07/01/2012","06/30/2014"
"PA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","4","76","1","58","","07/01/2012","06/30/2014"
"PR","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"RI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","5","0","5","","07/01/2012","06/30/2014"
"SC","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","30","0","18","","07/01/2012","06/30/2014"
"SD","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","6","1","8","","07/01/2012","06/30/2014"
"TN","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","41","0","32","","07/01/2012","06/30/2014"
"TX","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","8","136","3","84","","07/01/2012","06/30/2014"
"UT","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","12","0","14","","07/01/2012","06/30/2014"
"VA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","42","0","24","","07/01/2012","06/30/2014"
"VI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2012","06/30/2014"
"VT","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","2","0","4","","07/01/2012","06/30/2014"
"WA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","36","1","9","","07/01/2012","06/30/2014"
"WI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","35","1","27","","07/01/2012","06/30/2014"
"WV","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","17","0","9","","07/01/2012","06/30/2014"
"WY","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","2","0","9","","07/01/2012","06/30/2014"
