Provider Number,Hospital Name,Address,City,State,Zip Code,County Name,SCIP-Inf-1 Performance Rate,SCIP-Inf-1 Achievement Points,SCIP-Inf-1 Improvement Points,SCIP-Inf-1 Measure Score,SCIP-Inf-2 Performance Rate,SCIP-Inf-2 Achievement Points,SCIP-Inf-2 Improvement Points,SCIP-Inf-2 Measure Score,SCIP-Inf-3 Performance Rate,SCIP-Inf-3 Achievement Points,SCIP-Inf-3 Improvement Points,SCIP-Inf-3 Measure Score,SCIP-Inf-4 Performance Rate,SCIP-Inf-4 Achievement Points,SCIP-Inf-4 Improvement Points,SCIP-Inf-4 Measure Score,SCIP-Inf-9 Performance Rate,SCIP-Inf-9 Achievement Points,SCIP-Inf-9 Improvement Points,SCIP-Inf-9 Measure Score,HAI Condition/Procedure Score
"100063","MORTON PLANT NORTH BAY HOSPITAL","6600 MADISON ST","New Port Richey","FL","34652","PASCO","0.98611","0 out of 10","4 out of 9","4 out of 10","0.97222","0 out of 10","0 out of 9","0 out of 10","0.98571","4 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","0.98361","7 out of 10","8 out of 9","8 out of 10","20"
"100067","ST ANTHONYS HOSPITAL","1200 SEVENTH AVE N","Saint Petersburg","FL","33705","PINELLAS","0.99427","6 out of 10","5 out of 9","6 out of 10","0.99235","4 out of 10","0 out of 9","4 out of 10","0.97642","1 out of 10","0 out of 9","1 out of 10","Not Available","Not Available","Not Available","Not Available","0.97688","5 out of 10","1 out of 9","5 out of 10","16"
"100068","FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER","301 MEMORIAL MEDICAL PARKWAY","Daytona Beach","FL","32117","VOLUSIA","0.99752","8 out of 10","2 out of 9","8 out of 10","0.99752","8 out of 10","8 out of 9","8 out of 10","0.99611","8 out of 10","7 out of 9","8 out of 10","0.99602","9 out of 10","8 out of 9","9 out of 10","0.99367","8 out of 10","1 out of 9","8 out of 10","41"
"100069","FLORIDA HOSPITAL CARROLLWOOD","7171 N DALE MABRY HWY","Tampa","FL","33614","HILLSBOROUGH","0.98193","0 out of 10","2 out of 9","2 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99355","7 out of 10","5 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","0.98298","7 out of 10","6 out of 9","7 out of 10","26"
"100070","VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH","540 THE RIALTO","Venice","FL","34285","SARASOTA","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99784","8 out of 10","5 out of 9","8 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","48"
"100071","BAYFRONT HEALTH BROOKSVILLE","17240 CORTEZ BLVD","Brooksville","FL","34601","HERNANDO","0.98655","1 out of 10","0 out of 9","1 out of 10","0.99099","4 out of 10","4 out of 9","4 out of 10","0.96172","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","0.96708","4 out of 10","0 out of 9","4 out of 10","9"
"100072","FLORIDA HOSPITAL FISH MEMORIAL","1055 SAXON BLVD","Orange City","FL","32763","VOLUSIA","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99522","6 out of 10","5 out of 9","6 out of 10","0.99010","6 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","0.99574","9 out of 10","0 out of 9","9 out of 10","32"
"100073","HOLY CROSS HOSPITAL INC","4725 N FEDERAL HWY","Ft Lauderdale","FL","33308","BROWARD","0.99806","8 out of 10","8 out of 9","8 out of 10","0.99612","7 out of 10","8 out of 9","8 out of 10","0.99214","7 out of 10","0 out of 9","7 out of 10","0.98049","6 out of 10","0 out of 9","6 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","39"
"100075","ST JOSEPHS HOSPITAL","3001 W MARTIN LUTHER KING JR BLVD","Tampa","FL","33607","HILLSBOROUGH","0.98891","2 out of 10","2 out of 9","2 out of 10","0.99110","4 out of 10","3 out of 9","4 out of 10","0.98376","4 out of 10","4 out of 9","4 out of 10","0.98921","8 out of 10","2 out of 9","8 out of 10","0.99634","9 out of 10","8 out of 9","9 out of 10","27"
"100077","BAYFRONT HEALTH PORT CHARLOTTE","2500 HARBOR BLVD","Port Charlotte","FL","33952","CHARLOTTE","0.98257","0 out of 10","0 out of 9","0 out of 10","0.98908","2 out of 10","0 out of 9","2 out of 10","0.96528","0 out of 10","0 out of 9","0 out of 10","0.98485","7 out of 10","Not Available","7 out of 10","0.97679","5 out of 10","0 out of 9","5 out of 10","14"
"100080","JFK MEDICAL CENTER","5301 S CONGRESS AVE","Atlantis","FL","334621197","PALM BEACH","0.99807","8 out of 10","0 out of 9","8 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","0.99792","9 out of 10","0 out of 9","9 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99405","8 out of 10","1 out of 9","8 out of 10","45"
"100081","HEALTHMARK REGIONAL MEDICAL CENTER","4413 US HWY 331 S","Defuniak Springs","FL","32435","WALTON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100084","LEESBURG REGIONAL MEDICAL CENTER","600 E DIXIE AVE","Leesburg","FL","34748","LAKE","0.97949","0 out of 10","0 out of 9","0 out of 10","0.99487","6 out of 10","3 out of 9","6 out of 10","0.98438","4 out of 10","5 out of 9","5 out of 10","0.95536","0 out of 10","5 out of 9","5 out of 10","0.93162","0 out of 10","3 out of 9","3 out of 10","19"
"100086","BROWARD HEALTH NORTH","201 E SAMPLE RD","Deerfield Beach","FL","33064","BROWARD","0.99666","7 out of 10","6 out of 9","7 out of 10","0.99331","5 out of 10","5 out of 9","5 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","32"
"100087","SARASOTA MEMORIAL HOSPITAL","1700 S TAMIAMI TRL","Sarasota","FL","34239","SARASOTA","0.99827","8 out of 10","8 out of 9","8 out of 10","0.99652","7 out of 10","5 out of 9","7 out of 10","0.99460","8 out of 10","4 out of 9","8 out of 10","0.98851","7 out of 10","5 out of 9","7 out of 10","0.99277","8 out of 10","5 out of 9","8 out of 10","38"
"100088","BAPTIST MEDICAL CENTER","800 PRUDENTIAL DR","Jacksonville","FL","32207","DUVAL","0.99070","3 out of 10","1 out of 9","3 out of 10","0.98803","2 out of 10","3 out of 9","3 out of 10","0.98913","6 out of 10","4 out of 9","6 out of 10","0.98649","7 out of 10","3 out of 9","7 out of 10","0.95116","1 out of 10","0 out of 9","1 out of 10","20"
"100090","FLAGLER HOSPITAL","400 HEALTH PARK BLVD","Saint Augustine","FL","32086","ST. JOHNS","0.97772","0 out of 10","0 out of 9","0 out of 10","0.99164","4 out of 10","3 out of 9","4 out of 10","0.99138","6 out of 10","7 out of 9","7 out of 10","0.90351","0 out of 10","0 out of 9","0 out of 10","0.96218","3 out of 10","7 out of 9","7 out of 10","18"
"100092","WUESTHOFF MEDICAL CENTER  ROCKLEDGE","110 LONGWOOD AVE","Rockledge","FL","32955","BREVARD","0.99733","8 out of 10","5 out of 9","8 out of 10","0.98933","2 out of 10","6 out of 9","6 out of 10","0.94444","0 out of 10","0 out of 9","0 out of 10","0.97895","5 out of 10","6 out of 9","6 out of 10","0.97035","4 out of 10","0 out of 9","4 out of 10","24"
"100093","BAPTIST HOSPITAL","1000 W MORENO ST","Pensacola","FL","32501","ESCAMBIA","0.99589","7 out of 10","4 out of 9","7 out of 10","0.99794","8 out of 10","8 out of 9","8 out of 10","0.99574","8 out of 10","5 out of 9","8 out of 10","0.97484","4 out of 10","3 out of 9","4 out of 10","0.99272","8 out of 10","7 out of 9","8 out of 10","35"
"100099","LAKE WALES MEDICAL CENTER","410 S 11TH ST","Lake Wales","FL","33853","POLK","1.00000","10 out of 10","0 out of 9","10 out of 10","0.96552","0 out of 10","1 out of 9","1 out of 10","0.96364","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","0.97590","5 out of 10","8 out of 9","8 out of 10","19"
"100102","SHANDS LAKE SHORE REGIONAL MEDICAL CENTER","368 NE FRANKLIN ST","Lake City","FL","32055","COLUMBIA","0.90476","0 out of 10","0 out of 9","0 out of 10","0.92857","0 out of 10","0 out of 9","0 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"100105","INDIAN RIVER MEDICAL CENTER","1000 36TH ST","Vero Beach","FL","32960","INDIAN RIVER","0.97582","0 out of 10","3 out of 9","3 out of 10","0.98462","0 out of 10","0 out of 9","0 out of 10","0.97018","0 out of 10","4 out of 9","4 out of 10","0.98788","7 out of 10","7 out of 9","7 out of 10","0.91704","0 out of 10","2 out of 9","2 out of 10","16"
"100106","DOCTOR'S MEMORIAL HOSPITAL INC","333 N BYRON BUTLER PKWY","Perry","FL","32347","TAYLOR","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98333","4 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","39"
"100107","LEHIGH REGIONAL MEDICAL CENTER","1500 LEE BLVD","Lehigh Acres","FL","33936","LEE","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99145","4 out of 10","6 out of 9","6 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","0.82609","0 out of 10","0 out of 9","0 out of 10","26"
"100109","FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER","4200 SUN N LAKE BLVD","Sebring","FL","33871","HIGHLANDS","0.98765","1 out of 10","0 out of 9","1 out of 10","0.99071","3 out of 10","4 out of 9","4 out of 10","0.96215","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","15"
"100110","OSCEOLA REGIONAL MEDICAL CENTER","700 WEST OAK STREET","Kissimmee","FL","34741","OSCEOLA","0.99448","6 out of 10","0 out of 9","6 out of 10","0.99448","6 out of 10","2 out of 9","6 out of 10","0.99721","8 out of 10","7 out of 9","8 out of 10","0.97959","5 out of 10","0 out of 9","5 out of 10","0.97353","5 out of 10","0 out of 9","5 out of 10","30"
"100113","UF HEALTH SHANDS HOSPITAL","1600 SW ARCHER RD","Gainesville","FL","32610","ALACHUA","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99713","8 out of 10","6 out of 9","8 out of 10","0.99085","6 out of 10","7 out of 9","7 out of 10","0.97273","4 out of 10","0 out of 9","4 out of 10","0.98137","6 out of 10","5 out of 9","6 out of 10","35"
"100117","BAPTIST MEDICAL CENTER  BEACHES","1350 13TH AVE S","Jacksonville Beach","FL","32250","DUVAL","0.98556","0 out of 10","0 out of 9","0 out of 10","0.99639","7 out of 10","7 out of 9","7 out of 10","0.98524","4 out of 10","0 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available","0.94737","0 out of 10","5 out of 9","5 out of 10","16"
"100118","FLORIDA HOSPITAL FLAGLER","60 MEMORIAL MEDICAL PKWY","Palm Coast","FL","32164","FLAGLER","1.00000","10 out of 10","0 out of 9","10 out of 10","0.98777","1 out of 10","3 out of 9","3 out of 10","0.99683","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","0.98939","8 out of 10","8 out of 9","8 out of 10","29"
"100121","BARTOW REGIONAL MEDICAL CENTER","2200 OSPREY BLVD","Bartow","FL","33830","POLK","0.98131","0 out of 10","5 out of 9","5 out of 10","0.96262","0 out of 10","3 out of 9","3 out of 10","0.99000","6 out of 10","0 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available","0.96591","3 out of 10","0 out of 9","3 out of 10","17"
"100122","NORTH OKALOOSA MEDICAL CENTER","151 REDSTONE AVE SE","Crestview","FL","32539","OKALOOSA","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98540","4 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available","0.89231","0 out of 10","0 out of 9","0 out of 10","26"
"100124","SANTA ROSA MEDICAL CENTER","6002 BERRYHILL RD","Milton","FL","32570","SANTA ROSA","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","0.97619","5 out of 10","0 out of 9","5 out of 10","35"
"100125","HOMESTEAD HOSPITAL","975 BAPTIST WAY","Homestead","FL","33033","DADE","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.97872","2 out of 10","0 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","32"
"100126","PALMS OF PASADENA HOSPITAL","1501 PASADENA AVE S","Saint Petersburg","FL","33707","PINELLAS","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99273","5 out of 10","0 out of 9","5 out of 10","0.99270","7 out of 10","1 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","0.98294","7 out of 10","6 out of 9","7 out of 10","29"
"100127","MORTON PLANT HOSPITAL","300 PINELLAS ST","Clearwater","FL","33756","PINELLAS","0.99595","7 out of 10","5 out of 9","7 out of 10","0.99661","7 out of 10","5 out of 9","7 out of 10","0.99652","8 out of 10","4 out of 9","8 out of 10","0.98635","7 out of 10","0 out of 9","7 out of 10","0.99926","9 out of 10","9 out of 9","9 out of 10","38"
"100128","TAMPA GENERAL HOSPITAL","1 TAMPA GENERAL CIR","Tampa","FL","33606","HILLSBOROUGH","0.97753","0 out of 10","0 out of 9","0 out of 10","0.99000","3 out of 10","7 out of 9","7 out of 10","0.97954","2 out of 10","6 out of 9","6 out of 10","0.96787","3 out of 10","7 out of 9","7 out of 10","0.98941","8 out of 10","9 out of 9","9 out of 10","29"
"100130","LAKESIDE MEDICAL CENTER","39200 HOOKER HWY","Belle Glade","FL","33430","PALM BEACH","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","Not Available","10 out of 10","40"
"100131","AVENTURA HOSPITAL AND MEDICAL CENTER","20900 BISCAYNE BLVD","Aventura","FL","33180","DADE","0.98987","3 out of 10","0 out of 9","3 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99728","9 out of 10","8 out of 9","9 out of 10","0.97458","4 out of 10","0 out of 9","4 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","36"
"100132","SOUTH FLORIDA BAPTIST HOSPITAL","301 N ALEXANDER ST","Plant City","FL","33563","HILLSBOROUGH","0.99313","5 out of 10","0 out of 9","5 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99275","7 out of 10","0 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","0.99115","8 out of 10","9 out of 9","9 out of 10","31"
"100135","TALLAHASSEE MEMORIAL HOSPITAL","1300 MICCOSUKEE RD","Tallahassee","FL","32308","LEON","0.99603","7 out of 10","5 out of 9","7 out of 10","0.99761","8 out of 10","5 out of 9","8 out of 10","0.99673","8 out of 10","8 out of 9","8 out of 10","0.99403","9 out of 10","8 out of 9","9 out of 10","0.99061","8 out of 10","9 out of 9","9 out of 10","41"
"100137","HEART OF FLORIDA REGIONAL MEDICAL CENTER","40100 US HWY 27 N","Davenport","FL","33837","POLK","0.97464","0 out of 10","0 out of 9","0 out of 10","0.96190","0 out of 10","0 out of 9","0 out of 10","0.88889","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","0.87313","0 out of 10","0 out of 9","0 out of 10","0"
"100140","BAPTIST MEDICAL CENTER - NASSAU","1250 S 18TH ST","Fernandina Beach","FL","32034","NASSAU","1.00000","10 out of 10","0 out of 9","10 out of 10","0.91837","0 out of 10","0 out of 9","0 out of 10","0.91667","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","0.76316","0 out of 10","0 out of 9","0 out of 10","10"
"100142","JACKSON HOSPITAL","4250 HOSPITAL DR","Marianna ","FL","32446","JACKSON","0.99048","3 out of 10","7 out of 9","7 out of 10","0.96190","0 out of 10","0 out of 9","0 out of 10","0.99029","6 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","0.97222","5 out of 10","7 out of 9","7 out of 10","22"
"100150","LOWER KEYS MEDICAL CENTER","5900 COLLEGE ROAD","Key West","FL","33040","MONROE","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99153","6 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","0.94643","0 out of 10","0 out of 9","0 out of 10","27"
"100151","MAYO CLINIC","4500 SAN PABLO RD","Jacksonville","FL","32224","DUVAL","0.99345","5 out of 10","8 out of 9","8 out of 10","0.98908","2 out of 10","3 out of 9","3 out of 10","0.96270","0 out of 10","0 out of 9","0 out of 10","0.95604","0 out of 10","4 out of 9","4 out of 10","0.97760","6 out of 10","8 out of 9","8 out of 10","23"
"100154","SOUTH MIAMI HOSPITAL","6200 SW 73RD ST","Miami","FL","33143","DADE","1.00000","10 out of 10","0 out of 9","10 out of 10","0.99123","4 out of 10","0 out of 9","4 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98246","6 out of 10","6 out of 9","6 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","40"
"100156","LAKE CITY MEDICAL CENTER","340 NW COMMERCE DR","Lake City","FL","32055","COLUMBIA","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","40"
"100157","LAKELAND REGIONAL MEDICAL CENTER","1324 LAKELAND HILLS BLVD","Lakeland","FL","33805","POLK","0.98699","1 out of 10","0 out of 9","1 out of 10","0.98327","0 out of 10","1 out of 9","1 out of 10","0.97656","1 out of 10","5 out of 9","5 out of 10","0.97531","4 out of 10","0 out of 9","4 out of 10","0.98023","6 out of 10","7 out of 9","7 out of 10","18"
"100161","CENTRAL FLORIDA REGIONAL HOSPITAL","1401 W SEMINOLE BLVD","Sanford","FL","32771","SEMINOLE","0.99023","3 out of 10","0 out of 9","3 out of 10","0.99346","5 out of 10","0 out of 9","5 out of 10","0.98962","6 out of 10","7 out of 9","7 out of 10","0.98990","8 out of 10","0 out of 9","8 out of 10","0.99642","9 out of 10","9 out of 9","9 out of 10","32"
"100166","DOCTORS HOSPITAL OF SARASOTA","5731 BEE RIDGE RD","Sarasota","FL","34233","SARASOTA","0.99627","7 out of 10","0 out of 9","7 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99245","7 out of 10","4 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","0.98473","7 out of 10","0 out of 9","7 out of 10","31"
"100167","PLANTATION GENERAL HOSPITAL","401 NW 42ND AVE","Plantation","FL","33317","BROWARD","1.00000","10 out of 10","9 out of 9","10 out of 10","0.97854","0 out of 10","0 out of 9","0 out of 10","0.99113","6 out of 10","6 out of 9","6 out of 10","0.95402","0 out of 10","5 out of 9","5 out of 10","0.99742","9 out of 10","9 out of 9","9 out of 10","30"
"100168","BOCA RATON REGIONAL HOSPITAL","800 MEADOWS RD","Boca Raton","FL","33486","PALM BEACH","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99167","8 out of 10","8 out of 9","8 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","48"
"100173","FLORIDA HOSPITAL TAMPA","3100 E FLETCHER AVE","Tampa","FL","33613","HILLSBOROUGH","0.99645","7 out of 10","7 out of 9","7 out of 10","0.98214","0 out of 10","0 out of 9","0 out of 10","0.98540","4 out of 10","0 out of 9","4 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98099","6 out of 10","6 out of 9","6 out of 10","27"
"100175","DESOTO MEMORIAL HOSPITAL","900 N ROBERT AVE","Arcadia","FL","34265","DE SOTO","1.00000","10 out of 10","9 out of 9","10 out of 10","0.94444","0 out of 10","7 out of 9","7 out of 10","0.64706","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","0.83333","0 out of 10","5 out of 9","5 out of 10","22"
"100176","PALM BEACH GARDENS MEDICAL CENTER","3360 BURNS RD","Palm Beach Gardens","FL","33410","PALM BEACH","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99318","5 out of 10","0 out of 9","5 out of 10","0.99015","6 out of 10","3 out of 9","6 out of 10","0.99635","9 out of 10","9 out of 9","9 out of 10","0.98556","7 out of 10","4 out of 9","7 out of 10","37"
"100177","CAPE CANAVERAL HOSPITAL","701 W COCOA BEACH CAUSEWAY","Cocoa Beach","FL","32931","BREVARD","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99615","7 out of 10","8 out of 9","8 out of 10","0.99225","7 out of 10","6 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","0.99632","9 out of 10","9 out of 9","9 out of 10","34"
"100179","MEMORIAL HOSPITAL JACKSONVILLE","3625 UNIVERSITY BLVD S","Jacksonville","FL","32216","DUVAL","0.99819","8 out of 10","5 out of 9","8 out of 10","0.98915","2 out of 10","0 out of 9","2 out of 10","0.99395","7 out of 10","6 out of 9","7 out of 10","0.97674","5 out of 10","0 out of 9","5 out of 10","0.98264","6 out of 10","0 out of 9","6 out of 10","28"
"100180","ST PETERSBURG GENERAL HOSPITAL","6500 38TH AVE N","Saint Petersburg","FL","33710","PINELLAS","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99359","5 out of 10","0 out of 9","5 out of 10","0.99333","7 out of 10","4 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","0.99367","8 out of 10","1 out of 9","8 out of 10","30"
"100181","LARKIN COMMUNITY HOSPITAL","7031 SW 62ND AVE","South Miami","FL","33143","DADE","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.89130","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","0.94545","0 out of 10","9 out of 9","9 out of 10","29"
"100183","CORAL GABLES HOSPITAL","3100 DOUGLAS RD","Coral Gables","FL","33134","DADE","0.99621","7 out of 10","0 out of 9","7 out of 10","0.99242","4 out of 10","0 out of 9","4 out of 10","0.99608","8 out of 10","0 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","29"
"100187","PALMETTO GENERAL HOSPITAL","2001 W 68TH ST","Hialeah","FL","33016","DADE","0.99394","5 out of 10","0 out of 9","5 out of 10","0.98171","0 out of 10","0 out of 9","0 out of 10","0.98938","6 out of 10","0 out of 9","6 out of 10","0.97744","5 out of 10","0 out of 9","5 out of 10","0.99593","9 out of 10","9 out of 9","9 out of 10","25"
"100189","NORTHWEST MEDICAL CENTER","2801 N STATE RD 7","Margate","FL","33063","BROWARD","1.00000","10 out of 10","0 out of 9","10 out of 10","0.99156","4 out of 10","1 out of 9","4 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","44"
"100191","MEDICAL CENTER OF TRINITY","9332 SR 54, STE 401","Trinity","FL","34655","PASCO","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99653","7 out of 10","0 out of 9","7 out of 10","0.99627","8 out of 10","0 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","35"
"100200","BROWARD HEALTH IMPERIAL POINT","6401 N FEDERAL HWY","Fort Lauderdale","FL","33308","BROWARD","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","40"
"100204","NORTH FLORIDA REGIONAL MEDICAL CENTER","6500 NEWBERRY RD","Gainesville","FL","32605","ALACHUA","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99822","9 out of 10","7 out of 9","9 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99806","9 out of 10","8 out of 9","9 out of 10","48"
"100206","MEMORIAL HOSPITAL OF TAMPA","2901 W SWANN AVE","Tampa","FL","33609","HILLSBOROUGH","0.96124","0 out of 10","0 out of 9","0 out of 10","0.95349","0 out of 10","4 out of 9","4 out of 10","0.97581","1 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available","0.99265","8 out of 10","7 out of 9","8 out of 10","18"
"100209","KENDALL REGIONAL MEDICAL CENTER","11750 BIRD RD","Miami","FL","33175","DADE","0.98974","3 out of 10","0 out of 9","3 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","0.99196","7 out of 10","4 out of 9","7 out of 10","0.98734","7 out of 10","6 out of 9","7 out of 10","0.98739","7 out of 10","0 out of 9","7 out of 10","34"
"100211","BAYFRONT HEALTH DADE CITY","13100 FT KING RD","Dade City","FL","33525","PASCO","0.98485","0 out of 10","0 out of 9","0 out of 10","0.93939","0 out of 10","0 out of 9","0 out of 10","0.98113","3 out of 10","0 out of 9","3 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","13"
"100212","OCALA REGIONAL MEDICAL CENTER","1431 SW 1ST AVE","Ocala","FL","34478","MARION","0.99796","8 out of 10","8 out of 9","8 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99566","8 out of 10","3 out of 9","8 out of 10","0.98000","5 out of 10","6 out of 9","6 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","42"
"100213","BLAKE MEDICAL CENTER","2020 59TH ST W","Bradenton","FL","34209","MANATEE","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98232","0 out of 10","0 out of 9","0 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98507","7 out of 10","6 out of 9","7 out of 10","0.99060","8 out of 10","0 out of 9","8 out of 10","35"
"100217","SEBASTIAN RIVER MEDICAL CENTER","13695 US HWY 1","Sebastian","FL","32978","INDIAN RIVER","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","40"
"100220","GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM","13681 DOCTOR'S WAY","Fort Myers","FL","33912","LEE","0.99045","3 out of 10","8 out of 9","8 out of 10","0.97837","0 out of 10","8 out of 9","8 out of 10","0.95455","0 out of 10","6 out of 9","6 out of 10","0.96429","2 out of 10","1 out of 9","2 out of 10","0.95714","2 out of 10","8 out of 9","8 out of 10","32"
