Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Measure_Description,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-2_1-12_Rate_Per_1000,HBIPS-2_1-12_Num,HBIPS-2_1-12_Den,HBIPS-2_1-12_Footnote,HBIPS-2_13-17_Rate_Per_1000,HBIPS-2_13-17_Num,HBIPS-2_13-17_Den,HBIPS-2_13-17_Footnote,HBIPS-2_18-64_Rate_Per_1000,HBIPS-2_18-64_Num,HBIPS-2_18-64_Den,HBIPS-2_18-64_Footnote,HBIPS-2_65_Over_Rate_Per_1000,HBIPS-2_65_Over_Num,HBIPS-2_65_Over_Den,HBIPS-2_65_Over_Footnote,HBIPS-3_Measure_Description,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-3_1-12_Rate_Per_1000,HBIPS-3_1-12_Num,HBIPS-3_1-12_Den,HBIPS-3_1-12_Footnote,HBIPS-3_13-17_Rate_Per_1000,HBIPS-3_13-17_Num,HBIPS-3_13-17_Den,HBIPS-3_13-17_Footnote,HBIPS-3_18-64_Rate_Per_1000,HBIPS-3_18-64_Num,HBIPS-3_18-64_Den,HBIPS-3_18-64_Footnote,HBIPS-3_65_Over_Rate_Per_1000,HBIPS-3_65_Over_Num,HBIPS-3_65_Over_Den,HBIPS-3_65_Over_Footnote,HBIPS-4_Measure_Description,HBIPS-4_Overall_%_of_Total,HBIPS-4_Overall_Num,HBIPS-4_Overall_Den,HBIPS-4_Overall_Footnote,HBIPS-4_1-12_%_of_Total,HBIPS-4_1-12_Num,HBIPS-4_1-12_Den,HBIPS-4_1-12_Footnote,HBIPS-4_13-17_%_of_Total,HBIPS-4_13-17_Num,HBIPS-4_13-17_Den,HBIPS-4_13-17_Footnote,HBIPS-4_18-64_%_of_Total,HBIPS-4_18-64_Num,HBIPS-4_18-64_Den,HBIPS-4_18-64_Footnote,HBIPS-4_65_Over_%_of_Total,HBIPS-4_65_Over_Num,HBIPS-4_65_Over_Den,HBIPS-4_65_Over_Footnote,HBIPS-5_Measure_Description,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,HBIPS-5_1-12_%_of_Total,HBIPS-5_1-12_Num,HBIPS-5_1-12_Den,HBIPS-5_1-12_Footnote,HBIPS-5_13-17_%_of_Total,HBIPS-5_13-17_Num,HBIPS-5_13-17_Den,HBIPS-5_13-17_Footnote,HBIPS-5_18-64_%_of_Total,HBIPS-5_18-64_Num,HBIPS-5_18-64_Den,HBIPS-5_18-64_Footnote,HBIPS-5_65_Over_%_of_Total,HBIPS-5_65_Over_Num,HBIPS-5_65_Over_Den,HBIPS-5_65_Over_Footnote,HBIPS-6_Measure_Description,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-6_Overall_Footnote,HBIPS-6_1-12_%_of_Total,HBIPS-6_1-12_Num,HBIPS-6_1-12_Den,HBIPS-6_1-12_Footnote,HBIPS-6_13-17_%_of_Total,HBIPS-6_13-17_Num,HBIPS-6_13-17_Den,HBIPS-6_13-17_Footnote,HBIPS-6_18-64_%_of_Total,HBIPS-6_18-64_Num,HBIPS-6_18-64_Den,HBIPS-6_18-64_Footnote,HBIPS-6_65_Over_%_of_Total,HBIPS-6_65_Over_Num,HBIPS-6_65_Over_Den,HBIPS-6_65_Over_Footnote,HBIPS-7_Measure_Description,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,HBIPS-7_Overall_Footnote,HBIPS-7_1-12_%_of_Total,HBIPS-7_1-12_Num,HBIPS-7_1-12_Den,HBIPS-7_1-12_Footnote,HBIPS-7_13-17_%_of_Total,HBIPS-7_13-17_Num,HBIPS-7_13-17_Den,HBIPS-7_13-17_Footnote,HBIPS-7_18-64_%_of_Total,HBIPS-7_18-64_Num,HBIPS-7_18-64_Den,HBIPS-7_18-64_Footnote,HBIPS-7_65_Over_%_of_Total,HBIPS-7_65_Over_Num,HBIPS-7_65_Over_Den,HBIPS-7_65_Over_Footnote,Start_Date,End_Date
"310001","HACKENSACK UNIVERSITY MEDICAL CENTER","30 PROSPECT AVE","HACKENSACK","NJ","07601","BERGEN","Hours of physical-restraint use","0.13","16.66","5350","","Not Available","0","0","7","Not Available","0","0","7","0.15","16.66","4748","","0.00","0","602","","Hours of seclusion","0.00","0","5359","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","4757","","0.00","0","602","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","56.70","127","224","","Not Available","0","0","7","Not Available","0","0","7","64.15","102","159","","38.46","25","65","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","44.64","100","224","","Not Available","0","0","7","Not Available","0","0","7","51.57","82","159","","27.69","18","65","","04/01/2013","12/31/2013"
"310002","NEWARK BETH ISRAEL MEDICAL CENTER","201 LYONS AVE","NEWARK","NJ","07112","ESSEX","Hours of physical-restraint use","0.04","4.82","4585","","0.00","0","393","","0.00","0","1112","","0.07","4.82","2822","","0.00","0","258","","Hours of seclusion","0.10","10.99","4585","","0.04",".42","393","","0.37","9.82","1112","","0.01",".75","2822","","0.00","0","258","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.24","393","396","","99.07","107","108","","100.00","139","139","","100.00","135","135","","85.71","12","14","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","55.81","221","396","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"310005","HUNTERDON MEDICAL CENTER","2100 WESCOTT DRIVE","FLEMINGTON","NJ","08822","HUNTERDON","Hours of physical-restraint use","0.26","14.3","2322","","Not Available","0","0","7","Not Available","0","0","7","0.28","14.3","2162","","0.00","0","160","","Hours of seclusion","0.00","0","2322","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","2162","","0.00","0","160","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","25.39","49","193","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"310008","HOLY NAME MEDICAL CENTER","718 TEANECK RD","TEANECK","NJ","07666","BERGEN","Hours of physical-restraint use","0.24","22.67","3911","","Not Available","0","0","7","Not Available","0","0","7","0.39","22.67","2404","","0.00","0","1507","","Hours of seclusion","0.00","0","3911","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","2404","","0.00","0","1507","","Patients discharged on multiple antipsychotic medications","11.06","23","208","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.66","290","291","","Not Available","0","0","7","Not Available","0","0","7","100.00","143","143","","99.32","147","148","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","99.66","290","291","","Not Available","0","0","7","Not Available","0","0","7","100.00","143","143","","99.32","147","148","","04/01/2013","12/31/2013"
"310009","CLARA MAASS MEDICAL CENTER","ONE CLARA MAAS DRIVE","BELLEVILLE","NJ","07109","ESSEX","Hours of physical-restraint use","0.18","43.61","9837","","Not Available","0","0","7","Not Available","0","0","7","0.24","43.61","7702","","0.00","0","2135","","Hours of seclusion","0.00","0","9837","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","7702","","0.00","0","2135","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","94.52","345","365","","Not Available","0","0","7","Not Available","0","0","7","92.93","184","198","","96.41","161","167","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","93.97","343","365","","Not Available","0","0","7","Not Available","0","0","7","92.93","184","198","","95.21","159","167","","04/01/2013","12/31/2013"
"310010","UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO","ONE-FIVE PLAINSBORO ROAD","PLAINSBORO","NJ","08536","MIDDLESEX","Hours of physical-restraint use","0.05","33","27710","","0.00","0","538","","0.00","0","2710","","0.06","33","23196","","0.00","0","1266","","Hours of seclusion","0.00","0","27710","","0.00","0","538","","0.00","0","2710","","0.00","0","23196","","0.00","0","1266","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","85.07","621","730","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","80.82","590","730","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"310015","MORRISTOWN MEDICAL CENTER","100 MADISON AVE","MORRISTOWN","NJ","07962","MORRIS","Hours of physical-restraint use","0.03","2.52","3733","","Not Available","0","0","7","Not Available","0","0","7","0.04","2.52","2984","","0.00","0","749","","Hours of seclusion","0.16","14.4","3733","","Not Available","0","0","7","Not Available","0","0","7","0.20","14.4","2984","","0.00","0","749","","Patients discharged on multiple antipsychotic medications","10.34","15","145","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","0.00","0","14","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","91.91","216","235","","Not Available","0","0","7","Not Available","0","0","7","94.83","165","174","","83.61","51","61","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","89.79","211","235","","Not Available","0","0","7","Not Available","0","0","7","91.95","160","174","","83.61","51","61","","04/01/2013","12/31/2013"
"310025","CAREPOINT HEALTH - BAYONNE MEDICAL CENTER","29 EAST 29TH ST","BAYONNE","NJ","07002","HUDSON","Hours of physical-restraint use","0.33","21.29","2675","","Not Available","0","0","7","Not Available","0","0","7","0.29","13.27","1910","","0.44","8.02","765","","Hours of seclusion","0.00","0","2675","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","1910","","0.00","0","765","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","98.48","194","197","","Not Available","0","0","7","Not Available","0","0","7","99.31","144","145","","96.15","50","52","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","74.62","147","197","","Not Available","0","0","7","Not Available","0","0","7","73.79","107","145","","76.92","40","52","","04/01/2013","12/31/2013"
"310027","TRINITAS REGIONAL MEDICAL CENTER","225 WILLIAMSON STREET","ELIZABETH","NJ","07207","UNION","Hours of physical-restraint use","0.28","101.78","15264","","0.00","0","793","","0.53","21.59","1683","","0.29","79.19","11548","","0.03","1","1240","","Hours of seclusion","0.47","170.92","15264","","0.50","9.58","793","","0.83","33.41","1683","","0.46","127.93","11548","","0.00","0","1240","","Patients discharged on multiple antipsychotic medications","5.50","23","418","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","100.00","640","640","","100.00","92","92","","100.00","171","171","","100.00","291","291","","100.00","86","86","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","94.22","603","640","","93.48","86","92","","96.49","165","171","","92.44","269","291","","96.51","83","86","","04/01/2013","12/31/2013"
"310028","NEWTON MEDICAL CENTER","175 HIGH ST","NEWTON","NJ","07860","SUSSEX","Hours of physical-restraint use","0.23","15.69","2830","","Not Available","0","0","7","Not Available","0","0","7","0.25","15.69","2601","","0.00","0","229","","Hours of seclusion","0.14","9.25","2830","","Not Available","0","0","7","Not Available","0","0","7","0.15","9.25","2601","","0.00","0","229","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","96.04","194","202","","Not Available","0","0","7","Not Available","0","0","7","96.49","165","171","","93.55","29","31","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","88.12","178","202","","Not Available","0","0","7","Not Available","0","0","7","88.30","151","171","","87.10","27","31","","04/01/2013","12/31/2013"
"310032","INSPIRA MEDICAL CENTER VINELAND","1505 W SHERMAN AVE","VINELAND","NJ","08360","CUMBERLAND","Hours of physical-restraint use","0.21","34.6","6844","","Not Available","0","0","7","0.00","0","5","","0.22","34.6","6658","","0.00","0","181","","Hours of seclusion","0.00","0","6844","","Not Available","0","0","7","0.00","0","5","","0.00","0","6658","","0.00","0","181","","Patients discharged on multiple antipsychotic medications","8.04","16","199","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","3.17","11","347","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"310034","RIVERVIEW MEDICAL CENTER","ONE RIVERVIEW PLAZA","RED BANK","NJ","07701","MONMOUTH","Hours of physical-restraint use","0.30","32","4388","","Not Available","0","0","7","Not Available","0","0","7","0.33","32","4025","","0.00","0","363","","Hours of seclusion","0.06","5.83","4388","","Not Available","0","0","7","Not Available","0","0","7","0.06","5.83","4025","","0.00","0","363","","Patients discharged on multiple antipsychotic medications","11.41","17","149","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","0.00","0","13","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","28.71","91","317","","Not Available","0","0","7","Not Available","0","0","7","26.61","66","248","","36.23","25","69","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","16.40","52","317","","Not Available","0","0","7","Not Available","0","0","7","15.73","39","248","","18.84","13","69","","04/01/2013","12/31/2013"
"310040","CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER","308 WILLOW AVE","HOBOKEN","NJ","07030","HUDSON","Hours of physical-restraint use","0.04","8.93","9062","","0.00","0","610","","0.08","4.63","2505","","0.04","4.3","4012","","0.00","0","1935","","Hours of seclusion","0.09","20.41","9062","","0.32","4.75","610","","0.26","15.66","2505","","0.00","0","4012","","0.00","0","1935","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.81","513","514","","100.00","98","98","","99.31","143","144","","100.00","144","144","","100.00","128","128","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","95.91","493","514","","96.94","95","98","","97.92","141","144","","90.28","130","144","","99.22","127","128","","04/01/2013","12/31/2013"
"310045","ENGLEWOOD HOSPITAL AND MEDICAL CENTER","350 ENGLE ST","ENGLEWOOD","NJ","07631","BERGEN","Hours of physical-restraint use","0.00","0","1023","","Not Available","0","0","7","0.00","0","6","","0.00","0","489","","0.00","0","528","","Hours of seclusion","0.00","0","1023","","Not Available","0","0","7","0.00","0","6","","0.00","0","489","","0.00","0","528","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","93.18","164","176","","Not Available","0","0","7","Not Available","0","0","7","95.24","60","63","","92.04","104","113","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","88.64","156","176","","Not Available","0","0","7","Not Available","0","0","7","95.24","60","63","","84.96","96","113","","04/01/2013","12/31/2013"
"310048","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET","110 REHILL AVE","SOMERVILLE","NJ","08876","SOMERSET","Hours of physical-restraint use","0.05","3.25","2685","","Not Available","0","0","7","Not Available","0","0","7","0.05","3.25","2463","","0.00","0","222","","Hours of seclusion","0.00","0","2685","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","2463","","0.00","0","222","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Post-discharge continuing care plan created","100.00","196","196","","Not Available","0","0","7","Not Available","0","0","7","100.00","172","172","","100.00","24","24","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","91.84","180","196","","Not Available","0","0","7","Not Available","0","0","7","91.28","157","172","","95.83","23","24","","04/01/2013","12/31/2013"
"310050","SAINT CLARE'S HOSPITAL","25 POCONO ROAD","DENVILLE","NJ","07834","MORRIS","Hours of physical-restraint use","0.14","53.4","16162","","0.05","1","888","","0.06","4.83","3256","","0.18","47.57","10738","","0.00","0","1280","","Hours of seclusion","0.27","105.25","16162","","0.27","5.7","888","","0.01",".83","3256","","0.38","98.72","10738","","0.00","0","1280","","Patients discharged on multiple antipsychotic medications","8.18","36","440","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","48.28","14","29","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","74.47","525","705","","74.80","95","127","","82.00","164","200","","70.65","207","293","","69.41","59","85","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","42.55","300","705","","29.13","37","127","","34.00","68","200","","49.15","144","293","","60.00","51","85","","04/01/2013","12/31/2013"
"310051","OVERLOOK MEDICAL CENTER","99 BEAUVOIR AVENUE","SUMMIT","NJ","07902","UNION","Hours of physical-restraint use","0.09","9.75","4514","","Not Available","0","0","7","Not Available","0","0","7","0.13","9.75","3195","","0.00","0","1319","","Hours of seclusion","0.25","27.33","4514","","Not Available","0","0","7","Not Available","0","0","7","0.22","17.08","3195","","0.32","10.25","1319","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","89.11","270","303","","Not Available","0","0","7","Not Available","0","0","7","89.53","154","172","","88.55","116","131","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","88.45","268","303","","Not Available","0","0","7","Not Available","0","0","7","89.53","154","172","","87.02","114","131","","04/01/2013","12/31/2013"
"310054","HACKENSACK-UMC MOUNTAINSIDE","BAY AND HIGHLAND AVE","MONTCLAIR","NJ","07042","ESSEX","Hours of physical-restraint use","0.16","25.66","6868","","Not Available","0","0","7","Not Available","0","0","7","0.19","21.6","4830","","0.08","4.06","2038","","Hours of seclusion","0.00","0","6868","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","4830","","0.00","0","2038","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.20","247","249","","Not Available","0","0","7","Not Available","0","0","7","100.00","117","117","","98.48","130","132","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","99.20","247","249","","Not Available","0","0","7","Not Available","0","0","7","100.00","117","117","","98.48","130","132","","04/01/2013","12/31/2013"
"310057","VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY","175 MADISON AVE","MOUNT HOLLY","NJ","08060","BURLINGTON","Hours of physical-restraint use","0.00",".5","4773","","Not Available","0","0","7","Not Available","0","0","7","0.00",".5","4348","","0.00","0","425","","Hours of seclusion","0.44","50.45","4773","","Not Available","0","0","7","Not Available","0","0","7","0.34","35.25","4348","","1.49","15.2","425","","Patients discharged on multiple antipsychotic medications","14.60","20","137","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.53","210","211","","Not Available","0","0","7","Not Available","0","0","7","100.00","173","173","","97.37","37","38","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","85.31","180","211","","Not Available","0","0","7","Not Available","0","0","7","84.39","146","173","","89.47","34","38","","04/01/2013","12/31/2013"
"310058","BERGEN REGIONAL MEDICAL CENTER","230 EAST RIDGEWOOD AVE","PARAMUS","NJ","07652","BERGEN","Hours of physical-restraint use","61.24","244","166","","Not Available","0","0","7","Not Available","0","0","7","61.24","244","166","","Not Available","0","0","7","Hours of seclusion","2.26","9","166","","Not Available","0","0","7","Not Available","0","0","7","2.26","9","166","","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Post-discharge continuing care plan created","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","04/01/2013","12/31/2013"
"310060","ST LUKE'S WARREN HOSPITAL","185 ROSEBERRY ST","PHILLIPSBURG","NJ","08865","WARREN","Hours of physical-restraint use","0.11","4.08","1497","","Not Available","0","0","7","Not Available","0","0","7","0.17","4.08","1004","","0.00","0","493","","Hours of seclusion","0.00","0","1497","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","1004","","0.00","0","493","","Patients discharged on multiple antipsychotic medications","11.41","21","184","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","75.00","12","16","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","64.41","152","236","","Not Available","0","0","7","Not Available","0","0","7","69.77","120","172","","50.00","32","64","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","44.07","104","236","","Not Available","0","0","7","Not Available","0","0","7","48.26","83","172","","32.81","21","64","","04/01/2013","12/31/2013"
