Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,PN-3b Performance Rate,PN-3b Achievement Points,PN-3b Improvement Points,PN-3b Measure Score,PN-6 Performance Rate,PN-6 Achievement Points,PN-6 Improvement Points,PN-6 Measure Score,PN Condition/Procedure Score
"170123","WESLEY MEDICAL CENTER","550 N HILLSIDE STREET","Wichita","KS","67214","SEDGWICK","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","20"
"340130","CAROLINAS MEDICAL CENTER-UNION","600 HOSPITAL DR","Monroe","NC","28112","UNION","0.98258","2 out of 10","4 out of 9","4 out of 10","0.96667","2 out of 10","0 out of 9","2 out of 10","6"
"110128","MEADOWS REGIONAL MEDICAL CENTER","ONE MEADOWS PARKWAY","Vidalia","GA","30474","TOOMBS","0.89922","0 out of 10","0 out of 9","0 out of 10","0.95062","0 out of 10","4 out of 9","4 out of 10","4"
"320022","PLAINS REGIONAL MEDICAL CENTER","2100 N MARTIN LUTHER KING, JR, BLVD","Clovis","NM","88101","CURRY","0.96644","0 out of 10","0 out of 9","0 out of 10","0.96429","2 out of 10","0 out of 9","2 out of 10","2"
"230005","EMMA L BIXBY MEDICAL CENTER","818 RIVERSIDE AVENUE","Adrian","MI","49221","LENAWEE","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","20"
"200024","CENTRAL MAINE MEDICAL CENTER","300 MAIN STREET","Lewiston","ME","04240","ANDROSCOGGIN","0.97297","0 out of 10","5 out of 9","5 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","15"
"450419","TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE","108 DENVER TRAIL","Azle","TX","76020","TARRANT","1.00000","10 out of 10","0 out of 9","10 out of 10","0.96939","3 out of 10","0 out of 9","3 out of 10","13"
"150113","COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY","1515 N MADISON AVE","Anderson","IN","46011","MADISON","0.98889","5 out of 10","7 out of 9","7 out of 10","0.98182","5 out of 10","3 out of 9","5 out of 10","12"
"230217","OAKLAWN HOSPITAL","200 N MADISON","Marshall","MI","49068","CALHOUN","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"150065","SCHNECK MEDICAL CENTER","411 W TIPTON ST","Seymour","IN","47274","JACKSON","0.98901","5 out of 10","0 out of 9","5 out of 10","0.96429","2 out of 10","5 out of 9","5 out of 10","10"
"260024","TEXAS COUNTY MEMORIAL HOSPITAL","1333 SAM HOUSTON BOULEVARD","Houston","MO","65483-2046","TEXAS","0.95238","0 out of 10","3 out of 9","3 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","13"
"510007","ST MARY'S MEDICAL CENTER","2900 1ST AVENUE","Huntington","WV","25702","CABELL","0.96633","0 out of 10","0 out of 9","0 out of 10","0.95935","1 out of 10","3 out of 9","3 out of 10","3"
"100069","FLORIDA HOSPITAL CARROLLWOOD","7171 N DALE MABRY HWY","Tampa","FL","33614","HILLSBOROUGH","0.98519","3 out of 10","6 out of 9","6 out of 10","0.98765","7 out of 10","8 out of 9","8 out of 10","14"
"110095","TIFT REGIONAL MEDICAL CENTER","901 E 18TH STREET","Tifton","GA","31793","TIFT","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99029","7 out of 10","0 out of 9","7 out of 10","17"
"370083","PUSHMATAHA CTY-TN OF ANTLERS HOSP AUTH","510 EAST MAIN STREET","Antlers","OK","74523","PUSHMATAHA","1.00000","10 out of 10","9 out of 9","10 out of 10","0.86667","0 out of 10","0 out of 9","0 out of 10","10"
"390016","JAMESON MEMORIAL HOSPITAL","1211 WILMINGTON AVENUE","New Castle","PA","16105","LAWRENCE","0.98788","5 out of 10","0 out of 9","5 out of 10","0.91053","0 out of 10","0 out of 9","0 out of 10","5"
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","Fairhope","AL","36532","BALDWIN","1.00000","10 out of 10","0 out of 9","10 out of 10","0.98947","7 out of 10","0 out of 9","7 out of 10","17"
"140100","MIDWESTERN REGION MED CENTER","2520 ELISHA AVENUE","Zion","IL","60099","LAKE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"150002","METHODIST HOSPITALS INC","600 GRANT ST","Gary","IN","46402","LAKE","0.99180","6 out of 10","7 out of 9","7 out of 10","0.98246","6 out of 10","8 out of 9","8 out of 10","15"
"150058","MEMORIAL HOSPITAL OF SOUTH BEND","615 N MICHIGAN ST","South Bend","IN","46601","ST. JOSEPH","0.99681","8 out of 10","9 out of 9","9 out of 10","0.96923","3 out of 10","7 out of 9","7 out of 10","16"
"060118","ST ANTHONY SUMMIT MEDICAL CENTER","340 PEAK ONE DRIVE","Frisco","CO","80443","SUMMIT","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD","Mesa","AZ","85209","MARICOPA","0.96508","0 out of 10","2 out of 9","2 out of 10","0.94834","0 out of 10","0 out of 9","0 out of 10","2"
"220016","BAYSTATE FRANKLIN MEDICAL CENTER","164 HIGH STREET","Greenfield","MA","01301","FRANKLIN","0.92661","0 out of 10","0 out of 9","0 out of 10","0.95238","0 out of 10","0 out of 9","0 out of 10","0"
"430095","AVERA HEART HOSPITAL OF SOUTH DAKOTA","4500 W 69TH ST","Sioux Falls","SD","57108","MINNEHAHA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050748","KAISER FOUNDATION HOSPITAL MANTECA","1777 WEST YOSEMITE AVE","Manteca","CA","95337","SAN JOAQUIN","0.97080","0 out of 10","0 out of 9","0 out of 10","0.98462","6 out of 10","0 out of 9","6 out of 10","6"
"520027","COLUMBIA ST MARYS HOSPITAL OZAUKEE","13111 N PORT WASHINGTON RD","Mequon","WI","53097","OZAUKEE","0.98667","4 out of 10","7 out of 9","7 out of 10","0.93636","0 out of 10","0 out of 9","0 out of 10","7"
"230277","HURON VALLEY-SINAI HOSPITAL","ONE WILLIAM CARLS DRIVE","Commerce","MI","48382","OAKLAND","0.99526","8 out of 10","4 out of 9","8 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","18"
"490088","BEDFORD MEMORIAL HOSPITAL","1613 OAKWOOD STREET","Bedford","VA","24523","BEDFORD CITY","0.96296","0 out of 10","4 out of 9","4 out of 10","0.93939","0 out of 10","5 out of 9","5 out of 10","9"
"190218","SABINE MEDICAL CENTER","240 HIGHLAND DRIVE","Many","LA","71449","SABINE","0.91803","0 out of 10","5 out of 9","5 out of 10","0.81132","0 out of 10","0 out of 9","0 out of 10","5"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","Foley","AL","36535","BALDWIN","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"110010","EMORY UNIVERSITY HOSPITAL","1364 CLIFTON ROAD, NE","Atlanta","GA","30322","DE KALB","0.96629","0 out of 10","0 out of 9","0 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"170109","MIAMI COUNTY MEDICAL CENTER","2100 BAPTISTE DRIVE","Paola","KS","66071","MIAMI","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","Not Available","10 out of 10","20"
"230004","MERCY HEALTH PARTNERS, MERCY CAMPUS","1500 E SHERMAN BOULEVARD","Muskegon","MI","49443","MUSKEGON","0.98065","2 out of 10","0 out of 9","2 out of 10","0.98529","6 out of 10","0 out of 9","6 out of 10","8"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","Gadsden","AL","35903","ETOWAH","1.00000","10 out of 10","9 out of 9","10 out of 10","0.96957","3 out of 10","0 out of 9","3 out of 10","13"
"350015","SANFORD MEDICAL CENTER BISMARCK","300 N 7TH ST","Bismarck","ND","58506","BURLEIGH","0.98361","3 out of 10","1 out of 9","3 out of 10","0.97701","4 out of 10","4 out of 9","4 out of 10","7"
"230072","HOLLAND COMMUNITY HOSPITAL","602 MICHIGAN AVE","Holland","MI","49423","OTTAWA","1.00000","10 out of 10","0 out of 9","10 out of 10","0.99390","8 out of 10","0 out of 9","8 out of 10","18"
"230110","MEMORIAL MEDICAL CENTER OF WEST MICHIGAN","1 N ATKINSON DRIVE","Ludington","MI","49431","MASON","0.99438","7 out of 10","8 out of 9","8 out of 10","0.96774","2 out of 10","3 out of 9","3 out of 10","11"
"490004","SENTARA RMH MEDICAL CENTER","2010 HEALTH CAMPUS DRIVE","Harrisonburg","VA","22801","HARRISONBURG CITY","0.99561","8 out of 10","5 out of 9","8 out of 10","0.99057","7 out of 10","5 out of 9","7 out of 10","15"
"470001","CENTRAL VERMONT MEDICAL CENTER","BOX 547","Barre","VT","05641","WASHINGTON","0.98507","3 out of 10","5 out of 9","5 out of 10","0.96970","3 out of 10","0 out of 9","3 out of 10","8"
"170150","SOUTH CENTRAL KS  MED CENTER","6401 PATTERSON PARKWAY","Arkansas City","KS","67005","COWLEY","0.89744","0 out of 10","0 out of 9","0 out of 10","0.90000","0 out of 10","0 out of 9","0 out of 10","0"
"240214","MAPLE GROVE HOSPITAL","9875 HOSPITAL DRIVE","Maple Grove","MN","55369","HENNEPIN","1.00000","10 out of 10","0 out of 9","10 out of 10","0.99153","8 out of 10","3 out of 9","8 out of 10","18"
"360011","MARION GENERAL HOSPITAL","1000 MCKINLEY PARK DRIVE","Marion","OH","43302","MARION","1.00000","10 out of 10","0 out of 9","10 out of 10","0.97674","4 out of 10","1 out of 9","4 out of 10","14"
"260020","MERCY HOSPITAL ST LOUIS","615 NEW BALLAS ROAD","Saint Louis","MO","63141-8221","ST. LOUIS","1.00000","10 out of 10","9 out of 9","10 out of 10","0.94828","0 out of 10","0 out of 9","0 out of 10","10"
"380056","SANTIAM MEMORIAL HOSPITAL","1401 N 10TH AVENUE","Stayton","OR","97383","MARION","0.87838","0 out of 10","0 out of 9","0 out of 10","0.89286","0 out of 10","3 out of 9","3 out of 10","3"
"390101","MEMORIAL HOSPITAL","325 SOUTH BELMONT STREET","York","PA","17403","YORK","1.00000","10 out of 10","9 out of 9","10 out of 10","0.97895","5 out of 10","0 out of 9","5 out of 10","15"
"220175","METROWEST MEDICAL CENTER","115 LINCOLN STREET","Framingham","MA","01701","MIDDLESEX","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99412","8 out of 10","6 out of 9","8 out of 10","18"
"320086","LOVELACE REGIONAL HOSPITAL - ROSWELL","117 EAST 19TH STREET","Roswell","NM","88201","CHAVES","1.00000","10 out of 10","9 out of 9","10 out of 10","0.94286","0 out of 10","5 out of 9","5 out of 10","15"
"340030","DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","Durham","NC","27710","DURHAM","1.00000","10 out of 10","9 out of 9","10 out of 10","0.96923","3 out of 10","0 out of 9","3 out of 10","13"
"220090","MILFORD REGIONAL MEDICAL CENTER","14 PROSPECT STREET","Milford","MA","01757","WORCESTER","0.94425","0 out of 10","0 out of 9","0 out of 10","0.96250","1 out of 10","0 out of 9","1 out of 10","1"
"330163","EASTERN NIAGARA HOSPITAL","521 EAST AVENUE","Lockport","NY","14094","NIAGARA","0.96000","0 out of 10","1 out of 9","1 out of 10","0.89024","0 out of 10","0 out of 9","0 out of 10","1"
"140115","THOREK MEMORIAL HOSPITAL","850 W IRVING PARK RD","Chicago","IL","60613","COOK","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"050411","KAISER FOUNDATION HOSPITAL - SOUTH BAY","25825 SOUTH VERMONT AVENUE","Harbor City","CA","90710","LOS ANGELES","0.98734","4 out of 10","0 out of 9","4 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","14"
"100176","PALM BEACH GARDENS MEDICAL CENTER","3360 BURNS RD","Palm Beach Gardens","FL","33410","PALM BEACH","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99048","7 out of 10","5 out of 9","7 out of 10","17"
"440016","BAPTIST MEMORIAL HOSPITAL HUNTINGDON","631 RB WILSON DR","Huntingdon","TN","38344","CARROLL","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"440184","FRANKLIN WOODS COMMUNITY HOSPITAL","300 MED TECH PARKWAY","Johnson City","TN","37604","WASHINGTON","0.97436","0 out of 10","3 out of 9","3 out of 10","0.89831","0 out of 10","0 out of 9","0 out of 10","3"
"050067","OAK VALLEY DISTRICT HOSPITAL","350 S OAK AVE","Oakdale","CA","95361","STANISLAUS","0.91111","0 out of 10","0 out of 9","0 out of 10","0.91176","0 out of 10","0 out of 9","0 out of 10","0"
"260074","MOBERLY REGIONAL MEDICAL CENTER","1515 UNION AVE","Moberly","MO","65270-9407","RANDOLPH","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"240047","ST LUKES HOSPITAL","915 EAST 1ST STREET","Duluth","MN","55805","ST. LOUIS","1.00000","10 out of 10","9 out of 9","10 out of 10","0.95522","0 out of 10","1 out of 9","1 out of 10","11"
"340087","THE MCDOWELL HOSPITAL","430 RANKIN DRIVE P O BOX 730","Marion","NC","28752","MCDOWELL","0.97391","0 out of 10","3 out of 9","3 out of 10","0.96923","3 out of 10","3 out of 9","3 out of 10","6"
"320085","MOUNTAIN VIEW REGIONAL MEDICAL CENTER","4311 EAST LOHMAN AVENUE","Las Cruces","NM","88011","DONA ANA","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"120001","THE QUEENS MEDICAL CENTER","1301 PUNCHBOWL ST","Honolulu","HI","96813","HONOLULU","0.98316","3 out of 10","6 out of 9","6 out of 10","0.98120","5 out of 10","6 out of 9","6 out of 10","12"
"330084","ALICE HYDE MEDICAL CENTER","133 PARK STREET","Malone","NY","12953","FRANKLIN","0.95385","0 out of 10","0 out of 9","0 out of 10","0.94118","0 out of 10","2 out of 9","2 out of 10","2"
"120011","KAISER FOUNDATION HOSPITAL","3288 MOANALUA RD","Honolulu","HI","96819","HONOLULU","0.99469","7 out of 10","7 out of 9","7 out of 10","0.98750","7 out of 10","7 out of 9","7 out of 10","14"
"050510","KAISER FOUNDATION HOSPITAL","99 MONTECILLO RD","San Rafael","CA","94903","MARIN","0.95798","0 out of 10","0 out of 9","0 out of 10","0.98387","6 out of 10","7 out of 9","7 out of 10","7"
"140200","ELMHURST MEMORIAL HOSPITAL","155 EAST BRUSH HILL ROAD","Elmhurst","IL","60126","DU PAGE","0.98571","4 out of 10","7 out of 9","7 out of 10","0.92308","0 out of 10","3 out of 9","3 out of 10","10"
"390325","OSS ORTHOPAEDIC HOSPITAL","1861 POWDER MILL RD","York","PA","17402","YORK","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100168","BOCA RATON REGIONAL HOSPITAL","800 MEADOWS RD","Boca Raton","FL","33486","PALM BEACH","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99020","7 out of 10","5 out of 9","7 out of 10","17"
"450890","BAYLOR REGIONAL MEDICAL CENTER AT PLANO","4700 ALLIANCE BOULEVARD","Plano","TX","75093","COLLIN","0.98707","4 out of 10","3 out of 9","4 out of 10","0.99138","8 out of 10","8 out of 9","8 out of 10","12"
"520196","OAKLEAF SURGICAL HOSPITAL","1000 OAKLEAF WAY","Altoona","WI","54720","EAU CLAIRE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050132","SAN GABRIEL VALLEY MEDICAL CENTER","438 W LAS TUNAS DRIVE","San Gabriel","CA","91776","LOS ANGELES","0.98773","5 out of 10","8 out of 9","8 out of 10","0.97917","5 out of 10","0 out of 9","5 out of 10","13"
"330261","PHELPS MEMORIAL HOSPITAL ASSN","701 NORTH BROADWAY","Sleepy Hollow","NY","10591","WESTCHESTER","0.98765","4 out of 10","8 out of 9","8 out of 10","0.97436","4 out of 10","2 out of 9","4 out of 10","12"
"520205","MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL","10101 SOUTH 27TH ST  2ND FLOOR","Franklin","WI","53132","MILWAUKEE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"270087","THE HEALTHCENTER","320 SUNNYVIEW LANE","Kalispell","MT","59901","FLATHEAD","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"040010","MERCY HOSPITAL NORTHWEST ARKANSAS","2710 RIFE MEDICAL LANE","Rogers","AR","72758","BENTON","0.99123","6 out of 10","4 out of 9","6 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","16"
"220171","LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON","41 & 45 MALL ROAD","Burlington","MA","01805","MIDDLESEX","0.97802","1 out of 10","0 out of 9","1 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","11"
"360107","BELLEVUE HOSPITAL","1400 WEST MAIN STREET","Bellevue","OH","44811","SANDUSKY","0.93443","0 out of 10","0 out of 9","0 out of 10","0.80702","0 out of 10","0 out of 9","0 out of 10","0"
"100167","PLANTATION GENERAL HOSPITAL","401 NW 42ND AVE","Plantation","FL","33317","BROWARD","0.99448","7 out of 10","8 out of 9","8 out of 10","0.99048","7 out of 10","0 out of 9","7 out of 10","15"
"260193","ST MARY'S MEDICAL CENTER","201 NW R D MIZE RD","Blue Springs","MO","64014","JACKSON","0.98883","5 out of 10","7 out of 9","7 out of 10","0.98473","6 out of 10","8 out of 9","8 out of 10","15"
"050055","CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS","3555 CESAR CHAVEZ STREET","San Francisco","CA","94110","SAN FRANCISCO","0.98795","5 out of 10","1 out of 9","5 out of 10","0.98000","5 out of 10","2 out of 9","5 out of 10","10"
"110168","REDMOND REGIONAL MEDICAL CENTER","501 REDMOND ROAD","Rome","GA","30165","FLOYD","0.98208","2 out of 10","0 out of 9","2 out of 10","0.96175","1 out of 10","0 out of 9","1 out of 10","3"
"250093","BOLIVAR MEDICAL CENTER","901 E SUNFLOWER RD","Cleveland","MS","38732","BOLIVAR","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","20"
"280013","THE NEBRASKA MEDICAL CENTER DBA NEBRASKA MEDICINE","987400 NEBRASKA MEDICAL CENTER","Omaha","NE","68198","DOUGLAS","0.99180","6 out of 10","0 out of 9","6 out of 10","0.94118","0 out of 10","0 out of 9","0 out of 10","6"
"070022","YALE-NEW HAVEN HOSPITAL","20 YORK ST","New Haven","CT","06504","NEW HAVEN","0.93048","0 out of 10","0 out of 9","0 out of 10","0.97101","3 out of 10","7 out of 9","7 out of 10","7"
"170133","SAINT LUKE'S CUSHING HOSPITAL","711 MARSHALL STREET","Leavenworth","KS","66048","LEAVENWORTH","1.00000","10 out of 10","0 out of 9","10 out of 10","0.88000","0 out of 10","3 out of 9","3 out of 10","13"
"170010","MERCY HOSPITAL INDEPENDENCE","800 WEST MYRTLE STREET","Independence","KS","67301","MONTGOMERY","1.00000","10 out of 10","9 out of 9","10 out of 10","0.91667","0 out of 10","0 out of 9","0 out of 10","10"
"390328","UPMC EAST","2775 MOSSIDE BOULEVARD","Monroeville","PA","15146","ALLEGHENY","0.99454","7 out of 10","Not Available","7 out of 10","0.97959","5 out of 10","Not Available","5 out of 10","12"
"390096","ST JOSEPH MEDICAL CENTER","2500 BERNVILLE ROAD","Reading","PA","19605","BERKS","0.96721","0 out of 10","3 out of 9","3 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","13"
"070004","SHARON HOSPITAL","50 HOSPITAL HILL ROAD, PO BOX 789","Sharon","CT","06069","LITCHFIELD","0.96000","0 out of 10","0 out of 9","0 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"330144","IRA DAVENPORT MEMORIAL HOSPITAL, INC","7571 STATE ROUTE 54","Bath","NY","14810","STEUBEN","0.96429","0 out of 10","5 out of 9","5 out of 10","0.83784","0 out of 10","2 out of 9","2 out of 10","7"
"290022","DESERT SPRINGS HOSPITAL","2075 EAST FLAMINGO ROAD","Las Vegas","NV","89119","CLARK","0.89855","0 out of 10","0 out of 9","0 out of 10","0.94872","0 out of 10","1 out of 9","1 out of 10","1"
"370015","INTEGRIS MAYES COUNTY MEDICAL CENTER","111 NORTH BAILEY STREET","Pryor","OK","74361","MAYES","1.00000","10 out of 10","0 out of 9","10 out of 10","0.91892","0 out of 10","0 out of 9","0 out of 10","10"
"200018","AROOSTOOK MEDICAL CENTER","PO BOX 151","Presque Isle","ME","04769","AROOSTOOK","1.00000","10 out of 10","9 out of 9","10 out of 10","0.95000","0 out of 10","0 out of 9","0 out of 10","10"
"110039","TRINITY HOSPITAL OF AUGUSTA","2260 WRIGHTSBORO RD","Augusta","GA","30904","RICHMOND","0.98291","3 out of 10","0 out of 9","3 out of 10","0.91379","0 out of 10","0 out of 9","0 out of 10","3"
"520138","AURORA ST LUKES MEDICAL CENTER","2900 W OKLAHOMA AVE","Milwaukee","WI","53215","MILWAUKEE","0.99391","7 out of 10","5 out of 9","7 out of 10","0.96905","3 out of 10","0 out of 9","3 out of 10","10"
"270017","ST JAMES HEALTHCARE","400 S CLARK ST","Butte","MT","59701","SILVER BOW","0.94615","0 out of 10","1 out of 9","1 out of 10","0.90667","0 out of 10","0 out of 9","0 out of 10","1"
"310009","CLARA MAASS MEDICAL CENTER","ONE CLARA MAAS DRIVE","Belleville","NJ","07109","ESSEX","1.00000","10 out of 10","0 out of 9","10 out of 10","0.97842","5 out of 10","0 out of 9","5 out of 10","15"
"520208","ST MARYS JANESVILLE HOSPITAL","3400 EAST RACINE STREET","Janesville","WI","53546","ROCK","0.98901","5 out of 10","Not Available","5 out of 10","0.96721","2 out of 10","Not Available","2 out of 10","7"
"240071","DISTRICT ONE HOSPITAL","200 STATE AVENUE","Faribault","MN","55021","RICE","1.00000","10 out of 10","0 out of 9","10 out of 10","0.90625","0 out of 10","0 out of 9","0 out of 10","10"
"360159","ADENA REGIONAL MEDICAL CENTER","272 HOSPITAL ROAD","Chillicothe","OH","45601","ROSS","0.99342","7 out of 10","0 out of 9","7 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","17"
"360064","ST ELIZABETH HEALTH CENTER","1044 BELMONT AVENUE","Youngstown","OH","44501","MAHONING","0.97581","0 out of 10","5 out of 9","5 out of 10","0.92857","0 out of 10","0 out of 9","0 out of 10","5"
"060011","DENVER HEALTH MEDICAL CENTER","777 BANNOCK ST","Denver","CO","80204","DENVER","0.88095","0 out of 10","0 out of 9","0 out of 10","0.98305","6 out of 10","6 out of 9","6 out of 10","6"
"250123","GARDEN PARK MEDICAL CENTER","15200 COMMUNITY ROAD","Gulfport","MS","39503","HARRISON","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","20"
"310005","HUNTERDON MEDICAL CENTER","2100 WESCOTT DRIVE","Flemington","NJ","08822","HUNTERDON","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"340060","MOREHEAD MEMORIAL HOSPITAL","117 E KINGS HIGHWAY","Eden","NC","27288","ROCKINGHAM","0.99016","6 out of 10","6 out of 9","6 out of 10","0.92708","0 out of 10","0 out of 9","0 out of 10","6"
"140202","ADVOCATE CONDELL MEDICAL CENTER","801 S MILWAUKEE AVE","Libertyville","IL","60048","LAKE","0.99444","7 out of 10","7 out of 9","7 out of 10","0.96296","1 out of 10","2 out of 9","2 out of 10","9"
"240053","PARK NICOLLET METHODIST HOSPITAL","6500 EXCELSIOR BLVD","Saint Louis Park","MN","55426","HENNEPIN","0.97884","1 out of 10","7 out of 9","7 out of 10","0.92606","0 out of 10","0 out of 9","0 out of 10","7"
"450135","TEXAS HEALTH HARRIS METHODIST FORT WORTH","1301 PENNSYLVANIA AVENUE","Fort Worth","TX","76104","TARRANT","0.99116","6 out of 10","6 out of 9","6 out of 10","0.96418","2 out of 10","2 out of 9","2 out of 10","8"
"290046","SPRING VALLEY HOSPITAL MEDICAL CENTER","5400 SOUTH RAINBOW BLVD","Las Vegas","NV","89118","CLARK","0.91262","0 out of 10","0 out of 9","0 out of 10","0.94667","0 out of 10","0 out of 9","0 out of 10","0"
"050373","LAC+USC MEDICAL CENTER","1200 N STATE ST, ROOM C2K100","Los Angeles","CA","90033","LOS ANGELES","0.99729","8 out of 10","9 out of 9","9 out of 10","0.98985","7 out of 10","8 out of 9","8 out of 10","17"
"240006","OLMSTED MEDICAL CENTER","1650 FOURTH STREET SOUTHEAST","Rochester","MN","55904","OLMSTED","0.94545","0 out of 10","4 out of 9","4 out of 10","0.88571","0 out of 10","1 out of 9","1 out of 10","5"
"150010","ST JOSEPH HOSPITAL & HEALTH CENTER INC","1907 W SYCAMORE ST","Kokomo","IN","46904","HOWARD","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"170020","HUTCHINSON REGIONAL MEDICAL CENTER INC","1701 E 23RD AVENUE","Hutchinson","KS","67502","RENO","0.98519","3 out of 10","0 out of 9","3 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","13"
"390217","EXCELA HEALTH FRICK HOSPITAL","508 SOUTH CHURCH STREET","Mount Pleasant","PA","15666","WESTMORELAND","0.98734","4 out of 10","0 out of 9","4 out of 10","0.97647","4 out of 10","6 out of 9","6 out of 10","10"
"500001","NORTHWEST HOSPITAL","1550 NORTH 115TH STREET","Seattle","WA","98133","KING","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"100242","GULF COAST REGIONAL MEDICAL CENTER","449 W 23RD ST","Panama City","FL","32405","BAY","0.99281","7 out of 10","0 out of 9","7 out of 10","0.98529","6 out of 10","2 out of 9","6 out of 10","13"
"300003","MARY HITCHCOCK MEMORIAL HOSPITAL","1 MEDICAL CENTER DRIVE","Lebanon","NH","03756","GRAFTON","0.88043","0 out of 10","0 out of 9","0 out of 10","0.96923","3 out of 10","0 out of 9","3 out of 10","3"
"030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","Tuba City","AZ","860450600","COCONINO","0.89796","0 out of 10","0 out of 9","0 out of 10","0.87879","0 out of 10","4 out of 9","4 out of 10","4"
"160104","TRINITY BETTENDORF","4500 UTICA RIDGE ROAD","Bettendorf","IA","52722","SCOTT","0.99091","6 out of 10","0 out of 9","6 out of 10","0.93151","0 out of 10","0 out of 9","0 out of 10","6"
"190064","OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER","5000 HENNESSY BLVD","Baton Rouge","LA","70808","EAST BATON ROUGE","0.98413","3 out of 10","0 out of 9","3 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","13"
"050228","SAN FRANCISCO GENERAL HOSPITAL","1001 POTRERO AVENUE","San Francisco","CA","94110","SAN FRANCISCO","0.84091","0 out of 10","0 out of 9","0 out of 10","0.98571","6 out of 10","6 out of 9","6 out of 10","6"
"260011","SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY","100 ST MARY'S MEDICAL PLAZA","Jefferson City","MO","65109","COLE","1.00000","10 out of 10","0 out of 9","10 out of 10","0.96667","2 out of 10","0 out of 9","2 out of 10","12"
