Hospital_Name,Provider ID,State,Fiscal Year,Domain_1_Score,AHRQ_PSI_90_Score,Domain_1_Start_Date,Domain_1_End_Date,Domain_2_Score,CLABSI_Score,CAUTI_Score,Domain_2_Start_Date,Domain_2_End_Date,Total_HAC_Score,Footnotes
"VISTA MEDICAL CENTER WEST","140033","IL","2015","N/A","N/A","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","N/A",""
"ST MARYS HOSPITAL","140034","IL","2015","9.0000","9","07/01/2011","06/30/2013","3.0000","5","1","01/01/2012","12/31/2013","5.1000",""
"GALESBURG COTTAGE HOSPITAL","140040","IL","2015","4.0000","4","07/01/2011","06/30/2013","2.5000","4","1","01/01/2012","12/31/2013","3.0250",""
"CGH MEDICAL CENTER","140043","IL","2015","1.0000","1","07/01/2011","06/30/2013","6.0000","9","3","01/01/2012","12/31/2013","4.2500",""
"GOOD SAMARITAN REGIONAL HLTH CENTER","140046","IL","2015","1.0000","1","07/01/2011","06/30/2013","6.5000","4","9","01/01/2012","12/31/2013","4.5750",""
"WEST SUBURBAN MEDICAL CENTER","140049","IL","2015","2.0000","2","07/01/2011","06/30/2013","5.0000","4","6","01/01/2012","12/31/2013","3.9500",""
"SAINT ANTHONY'S HEALTH CENTER","140052","IL","2015","8.0000","8","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","3.4500",""
"ST JOHNS HOSPITAL","140053","IL","2015","9.0000","9","07/01/2011","06/30/2013","6.0000","6","6","01/01/2012","12/31/2013","7.0500",""
"MACNEAL  HOSPITAL","140054","IL","2015","6.0000","6","07/01/2011","06/30/2013","7.5000","6","9","01/01/2012","12/31/2013","6.9750",""
"PASSAVANT AREA HOSPITAL","140058","IL","2015","1.0000","1","07/01/2011","06/30/2013","8.0000","N/A","8","01/01/2012","12/31/2013","5.5500",""
"PALOS COMMUNITY HOSPITAL","140062","IL","2015","7.0000","7","07/01/2011","06/30/2013","7.5000","8","7","01/01/2012","12/31/2013","7.3250",""
"RUSH OAK PARK HOSPITAL","140063","IL","2015","1.0000","1","07/01/2011","06/30/2013","8.5000","7","10","01/01/2012","12/31/2013","5.8750",""
"ST MARY MEDICAL CENTER","140064","IL","2015","5.0000","5","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","2.4000",""
"ADVENTIST LA GRANGE MEMORIAL HOSPITAL","140065","IL","2015","8.0000","8","07/01/2011","06/30/2013","2.5000","2","3","01/01/2012","12/31/2013","4.4250",""
"SAINT FRANCIS MEDICAL CENTER","140067","IL","2015","10.0000","10","07/01/2011","06/30/2013","6.5000","6","7","01/01/2012","12/31/2013","7.7250",""
"ROSELAND COMMUNITY HOSPITAL","140068","IL","2015","2.0000","2","07/01/2011","06/30/2013","5.5000","7","4","01/01/2012","12/31/2013","4.2750",""
"TOUCHETTE REGIONAL HOSPITAL INC","140077","IL","2015","5.0000","5","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","2.4000",""
"LOUIS A WEISS MEMORIAL HOSPITAL","140082","IL","2015","9.0000","9","07/01/2011","06/30/2013","5.5000","4","7","01/01/2012","12/31/2013","6.7250",""
"LORETTO HOSPITAL","140083","IL","2015","8.0000","8","07/01/2011","06/30/2013","9.0000","9","9","01/01/2012","12/31/2013","8.6500",""
"VISTA MEDICAL CENTER EAST","140084","IL","2015","4.0000","4","07/01/2011","06/30/2013","7.0000","7","7","01/01/2012","12/31/2013","5.9500",""
"MC DONOUGH DISTRICT HOSPITAL","140089","IL","2015","8.0000","8","07/01/2011","06/30/2013","5.0000","N/A","5","01/01/2012","12/31/2013","6.0500",""
"THE CARLE FOUNDATION HOSPITAL","140091","IL","2015","8.0000","8","07/01/2011","06/30/2013","9.0000","9","9","01/01/2012","12/31/2013","8.6500",""
"SAINT ANTHONY HOSPITAL","140095","IL","2015","10.0000","10","07/01/2011","06/30/2013","6.0000","10","2","01/01/2012","12/31/2013","7.4000",""
"MIDWESTERN REGION MED CENTER","140100","IL","2015","3.0000","3","07/01/2011","06/30/2013","6.5000","3","10","01/01/2012","12/31/2013","5.2750",""
"MORRIS HOSPITAL & HEALTHCARE CENTERS","140101","IL","2015","1.0000","1","07/01/2011","06/30/2013","3.0000","5","1","01/01/2012","12/31/2013","2.3000",""
"PRESENCE COVENANT MEDICAL CENTER","140113","IL","2015","2.0000","2","07/01/2011","06/30/2013","7.0000","8","6","01/01/2012","12/31/2013","5.2500",""
"SWEDISH COVENANT HOSPITAL","140114","IL","2015","2.0000","2","07/01/2011","06/30/2013","3.0000","3","3","01/01/2012","12/31/2013","2.6500",""
"THOREK MEMORIAL HOSPITAL","140115","IL","2015","3.0000","3","07/01/2011","06/30/2013","8.5000","9","8","01/01/2012","12/31/2013","6.5750",""
"CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL","140116","IL","2015","1.0000","1","07/01/2011","06/30/2013","8.5000","7","10","01/01/2012","12/31/2013","5.8750",""
"PRESENCE RESURRECTION MEDICAL CENTER","140117","IL","2015","1.0000","1","07/01/2011","06/30/2013","3.5000","2","5","01/01/2012","12/31/2013","2.6250",""
"RUSH UNIVERSITY MEDICAL CENTER","140119","IL","2015","9.0000","9","07/01/2011","06/30/2013","7.5000","8","7","01/01/2012","12/31/2013","8.0250",""
"PEKIN MEMORIAL HOSPITAL","140120","IL","2015","3.0000","3","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","1.7000",""
"HINSDALE HOSPITAL","140122","IL","2015","6.0000","6","07/01/2011","06/30/2013","7.5000","8","7","01/01/2012","12/31/2013","6.9750",""
"JOHN H STROGER JR HOSPITAL","140124","IL","2015","10.0000","10","07/01/2011","06/30/2013","6.0000","5","7","01/01/2012","12/31/2013","7.4000",""
"GATEWAY REGIONAL MEDICAL CENTER","140125","IL","2015","2.0000","2","07/01/2011","06/30/2013","3.5000","4","3","01/01/2012","12/31/2013","2.9750",""
"ADVOCATE BROMENN MEDICAL CENTER","140127","IL","2015","9.0000","9","07/01/2011","06/30/2013","4.0000","1","7","01/01/2012","12/31/2013","5.7500",""
"NORTHWESTERN LAKE FOREST HOSPITAL","140130","IL","2015","5.0000","5","07/01/2011","06/30/2013","8.5000","9","8","01/01/2012","12/31/2013","7.2750",""
"HOLY CROSS HOSPITAL","140133","IL","2015","9.0000","9","07/01/2011","06/30/2013","7.0000","9","5","01/01/2012","12/31/2013","7.7000",""
"DECATUR MEMORIAL HOSPITAL","140135","IL","2015","3.0000","3","07/01/2011","06/30/2013","9.5000","10","9","01/01/2012","12/31/2013","7.2250",""
"GREENVILLE REGIONAL HOSPITAL","140137","IL","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"TIFT REGIONAL MEDICAL CENTER","110095","GA","2015","8.0000","8","07/01/2011","06/30/2013","7.0000","7","7","01/01/2012","12/31/2013","7.3500",""
"COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR","110101","GA","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"EMANUEL MEDICAL CENTER","110109","GA","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER","110111","GA","2015","2.0000","2","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","2.0000",""
"BURKE MEDICAL CENTER","110113","GA","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"ATLANTA MEDICAL CENTER","110115","GA","2015","9.0000","9","07/01/2011","06/30/2013","6.0000","6","6","01/01/2012","12/31/2013","7.0500",""
"GRADY GENERAL HOSPITAL","110121","GA","2015","3.0000","3","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","3.0000",""
"SOUTH GEORGIA MEDICAL CENTER","110122","GA","2015","6.0000","6","07/01/2011","06/30/2013","6.0000","2","10","01/01/2012","12/31/2013","6.0000",""
"WAYNE MEMORIAL HOSPITAL","110124","GA","2015","3.0000","3","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","1.7000",""
"FAIRVIEW PARK HOSPITAL","110125","GA","2015","1.0000","1","07/01/2011","06/30/2013","7.5000","10","5","01/01/2012","12/31/2013","5.2250",""
"ST LUKES REGIONAL MEDICAL CENTER","160146","IA","2015","2.0000","2","07/01/2011","06/30/2013","4.5000","5","4","01/01/2012","12/31/2013","3.6250",""
"GRINNELL REGIONAL MEDICAL CENTER","160147","IA","2015","10.0000","10","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","4.1500",""
"VIA CHRISTI HOSPITAL PITTSBURG INC","170006","KS","2015","5.0000","5","07/01/2011","06/30/2013","6.0000","N/A","6","01/01/2012","12/31/2013","5.6500",""
"SAINT JOHN HOSPITAL","170009","KS","2015","6.0000","6","07/01/2011","06/30/2013","9.0000","N/A","9","01/01/2012","12/31/2013","7.9500",""
"MERCY HOSPITAL INDEPENDENCE","170010","KS","2015","7.0000","7","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","7.0000",""
"SALINA REGIONAL HEALTH CENTER","170012","KS","2015","6.0000","6","07/01/2011","06/30/2013","3.5000","3","4","01/01/2012","12/31/2013","4.3750",""
"HAYS MEDICAL CENTER","170013","KS","2015","7.0000","7","07/01/2011","06/30/2013","2.5000","3","2","01/01/2012","12/31/2013","4.0750",""
"RANSOM MEMORIAL HOSPITAL","170014","KS","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"SUSAN B ALLEN MEMORIAL HOSPITAL","170017","KS","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"HUTCHINSON REGIONAL MEDICAL CENTER INC","170020","KS","2015","8.0000","8","07/01/2011","06/30/2013","7.0000","8","6","01/01/2012","12/31/2013","7.3500",""
"ST CATHERINE HOSPITAL","170023","KS","2015","1.0000","1","07/01/2011","06/30/2013","4.5000","8","1","01/01/2012","12/31/2013","3.2750",""
"PRATT REGIONAL MEDICAL CENTER","170027","KS","2015","10.0000","10","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","4.1500",""
"SUMNER REGIONAL MEDICAL CENTER","170039","KS","2015","9.0000","9","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","9.0000",""
"OLATHE MEDICAL CENTER","170049","KS","2015","5.0000","5","07/01/2011","06/30/2013","4.5000","3","6","01/01/2012","12/31/2013","4.6750",""
"MERCY HOSPITAL-FORT SCOTT","170058","KS","2015","6.0000","6","07/01/2011","06/30/2013","5.0000","N/A","5","01/01/2012","12/31/2013","5.3500",""
"SOUTHWEST MEDICAL CENTER","170068","KS","2015","9.0000","9","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","3.8000",""
"MERCY HOSPITAL","170075","KS","2015","7.0000","7","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","7.0000",""
"STORMONT-VAIL HEALTHCARE","170086","KS","2015","2.0000","2","07/01/2011","06/30/2013","4.5000","4","5","01/01/2012","12/31/2013","3.6250",""
"COFFEY COUNTY HOSPITAL","170094","KS","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"NEWTON MEDICAL CENTER","170103","KS","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"SHAWNEE MISSION MEDICAL CENTER","170104","KS","2015","2.0000","2","07/01/2011","06/30/2013","2.0000","1","3","01/01/2012","12/31/2013","2.0000",""
"MCPHERSON HOSPITAL INC","170105","KS","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"MIAMI COUNTY MEDICAL CENTER","170109","KS","2015","8.0000","8","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","8.0000",""
"LABETTE HEALTH","170120","KS","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"VIA CHRISTI HOSPITALS WICHITA, INC","170122","KS","2015","2.0000","2","07/01/2011","06/30/2013","6.0000","6","6","01/01/2012","12/31/2013","4.6000",""
"WESLEY MEDICAL CENTER","170123","KS","2015","2.0000","2","07/01/2011","06/30/2013","6.0000","4","8","01/01/2012","12/31/2013","4.6000",""
"LAWRENCE MEMORIAL HOSPITAL","170137","KS","2015","2.0000","2","07/01/2011","06/30/2013","5.0000","1","9","01/01/2012","12/31/2013","3.9500",""
"COFFEYVILLE REGIONAL MEDICAL CENTER","170145","KS","2015","4.0000","4","07/01/2011","06/30/2013","9.0000","N/A","9","01/01/2012","12/31/2013","7.2500",""
"SOUTH CENTRAL KS  MED CENTER","170150","KS","2015","9.0000","9","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","9.0000",""
"WESTERN PLAINS MEDICAL COMPLEX","170175","KS","2015","4.0000","4","07/01/2011","06/30/2013","2.0000","1","3","01/01/2012","12/31/2013","2.7000",""
"MEADOWS REGIONAL MEDICAL CENTER","110128","GA","2015","7.0000","7","07/01/2011","06/30/2013","8.0000","9","7","01/01/2012","12/31/2013","7.6500",""
"ST FRANCIS HOSPITAL, INC","110129","GA","2015","1.0000","1","07/01/2011","06/30/2013","2.5000","3","2","01/01/2012","12/31/2013","1.9750",""
"IRWIN COUNTY HOSPITAL","110130","GA","2015","9.0000","9","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","9.0000",""
"MEMORIAL HOSPITAL AND MANOR","110132","GA","2015","2.0000","2","07/01/2011","06/30/2013","4.0000","N/A","4","01/01/2012","12/31/2013","3.3000",""
"TAYLOR REGIONAL HOSPITAL","110135","GA","2015","8.0000","8","07/01/2011","06/30/2013","6.0000","N/A","6","01/01/2012","12/31/2013","6.7000",""
"WELLSTAR COBB HOSPITAL","110143","GA","2015","9.0000","9","07/01/2011","06/30/2013","9.5000","9","10","01/01/2012","12/31/2013","9.3250",""
"SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS","110146","GA","2015","4.0000","4","07/01/2011","06/30/2013","9.0000","N/A","9","01/01/2012","12/31/2013","7.2500",""
"OCONEE REGIONAL MEDICAL CENTER","110150","GA","2015","3.0000","3","07/01/2011","06/30/2013","5.0000","5","5","01/01/2012","12/31/2013","4.3000",""
"NORTHSIDE HOSPITAL","110161","GA","2015","10.0000","10","07/01/2011","06/30/2013","4.5000","3","6","01/01/2012","12/31/2013","6.4250",""
"COLISEUM MEDICAL CENTERS","110164","GA","2015","9.0000","9","07/01/2011","06/30/2013","6.0000","9","3","01/01/2012","12/31/2013","7.0500",""
"SOUTHERN REGIONAL MEDICAL CENTER","110165","GA","2015","9.0000","9","07/01/2011","06/30/2013","7.0000","7","7","01/01/2012","12/31/2013","7.7000",""
"REDMOND REGIONAL MEDICAL CENTER","110168","GA","2015","1.0000","1","07/01/2011","06/30/2013","9.0000","9","9","01/01/2012","12/31/2013","6.2000",""
"EMORY-ADVENTIST HOSPITAL","110183","GA","2015","2.0000","2","07/01/2011","06/30/2013","10.0000","N/A","10","01/01/2012","12/31/2013","7.2000",""
"WELLSTAR DOUGLAS HOSPITAL","110184","GA","2015","8.0000","8","07/01/2011","06/30/2013","5.0000","1","9","01/01/2012","12/31/2013","6.0500",""
"ST MARGARETS HOSPITAL","140143","IL","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"ST JOSEPHS HOSPITAL","140145","IL","2015","3.0000","3","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","3.0000",""
"RICHLAND MEMORIAL HOSPITAL","140147","IL","2015","9.0000","9","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","9.0000",""
"UNIVERSITY OF ILLINOIS HOSPITAL","140150","IL","2015","10.0000","10","07/01/2011","06/30/2013","8.0000","9","7","01/01/2012","12/31/2013","8.7000",""
"MERCY HOSPITAL AND MEDICAL CENTER","140158","IL","2015","8.0000","8","07/01/2011","06/30/2013","7.5000","5","10","01/01/2012","12/31/2013","7.6750",""
"FHN MEMORIAL HOSPITAL","140160","IL","2015","10.0000","10","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","4.1500",""
"SAINT JAMES HOSPITAL","140161","IL","2015","8.0000","8","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","3.4500",""
"ST JOSEPH MEDICAL CENTER","140162","IL","2015","1.0000","1","07/01/2011","06/30/2013","6.5000","10","3","01/01/2012","12/31/2013","4.5750",""
"ST MARYS HOSPITAL","140166","IL","2015","4.0000","4","07/01/2011","06/30/2013","5.0000","1","9","01/01/2012","12/31/2013","4.6500",""
"IROQUOIS MEMORIAL HOSPITAL","140167","IL","2015","9.0000","9","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","3.8000",""
"FRANCISCAN ST JAMES HEALTH","140172","IL","2015","10.0000","10","07/01/2011","06/30/2013","6.5000","6","7","01/01/2012","12/31/2013","7.7250",""
"JACKSON PARK HOSPITAL","140177","IL","2015","4.0000","4","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","2.0500",""
"LITTLE COMPANY OF MARY HOSPITAL","140179","IL","2015","5.0000","5","07/01/2011","06/30/2013","10.0000","10","10","01/01/2012","12/31/2013","8.2500",""
"PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER","140180","IL","2015","7.0000","7","07/01/2011","06/30/2013","4.0000","6","2","01/01/2012","12/31/2013","5.0500",""
"SOUTH SHORE HOSPITAL","140181","IL","2015","1.0000","1","07/01/2011","06/30/2013","5.5000","8","3","01/01/2012","12/31/2013","3.9250",""
"HEARTLAND REGIONAL MEDICAL CENTER","140184","IL","2015","6.0000","6","07/01/2011","06/30/2013","2.0000","1","3","01/01/2012","12/31/2013","3.4000",""
"MEMORIAL HOSPITAL","140185","IL","2015","2.0000","2","07/01/2011","06/30/2013","5.5000","6","5","01/01/2012","12/31/2013","4.2750",""
"RIVERSIDE MEDICAL CENTER","140186","IL","2015","1.0000","1","07/01/2011","06/30/2013","6.0000","9","3","01/01/2012","12/31/2013","4.2500",""
"ST ELIZABETH HOSPITAL","140187","IL","2015","10.0000","10","07/01/2011","06/30/2013","6.0000","3","9","01/01/2012","12/31/2013","7.4000",""
"SARAH BUSH LINCOLN HEALTH CENTER","140189","IL","2015","8.0000","8","07/01/2011","06/30/2013","10.0000","10","10","01/01/2012","12/31/2013","9.3000",""
"INGALLS MEMORIAL HOSPITAL","140191","IL","2015","5.0000","5","07/01/2011","06/30/2013","4.0000","5","3","01/01/2012","12/31/2013","4.3500",""
"METHODIST HOSPITAL OF CHICAGO","140197","IL","2015","7.0000","7","07/01/2011","06/30/2013","3.5000","1","6","01/01/2012","12/31/2013","4.7250",""
"ELMHURST MEMORIAL HOSPITAL","140200","IL","2015","1.0000","1","07/01/2011","06/30/2013","3.5000","2","5","01/01/2012","12/31/2013","2.6250",""
"ADVOCATE CONDELL MEDICAL CENTER","140202","IL","2015","1.0000","1","07/01/2011","06/30/2013","6.0000","5","7","01/01/2012","12/31/2013","4.2500",""
"NORWEGIAN-AMERICAN HOSPITAL","140206","IL","2015","1.0000","1","07/01/2011","06/30/2013","4.5000","4","5","01/01/2012","12/31/2013","3.2750",""
"DELNOR COMMUNITY HOSPITAL","140211","IL","2015","9.0000","9","07/01/2011","06/30/2013","3.0000","3","3","01/01/2012","12/31/2013","5.1000",""
"SILVER CROSS HOSPITAL  AND MEDICAL CENTERS","140213","IL","2015","2.0000","2","07/01/2011","06/30/2013","8.5000","10","7","01/01/2012","12/31/2013","6.2250",""
"SWEDISH AMERICAN HOSPITAL","140228","IL","2015","8.0000","8","07/01/2011","06/30/2013","4.5000","4","5","01/01/2012","12/31/2013","5.7250",""
"EDWARD HOSPITAL","140231","IL","2015","7.0000","7","07/01/2011","06/30/2013","6.5000","3","10","01/01/2012","12/31/2013","6.6750",""
"SAINT ANTHONY MEDICAL CENTER","140233","IL","2015","10.0000","10","07/01/2011","06/30/2013","9.0000","9","9","01/01/2012","12/31/2013","9.3500",""
"ROCKFORD MEMORIAL HOSPITAL","140239","IL","2015","6.0000","6","07/01/2011","06/30/2013","6.0000","7","5","01/01/2012","12/31/2013","6.0000",""
"CENTRAL DUPAGE HOSPITAL","140242","IL","2015","8.0000","8","07/01/2011","06/30/2013","2.0000","1","3","01/01/2012","12/31/2013","4.1000",""
"ADVOCATE SOUTH SUBURBAN HOSPITAL","140250","IL","2015","1.0000","1","07/01/2011","06/30/2013","3.5000","1","6","01/01/2012","12/31/2013","2.6250",""
"PRESENCE OUR LADY OF THE RESURRECTION MED CTR","140251","IL","2015","8.0000","8","07/01/2011","06/30/2013","3.5000","4","3","01/01/2012","12/31/2013","5.0750",""
"NORTHWEST COMMUNITY HOSPITAL 1","140252","IL","2015","3.0000","3","07/01/2011","06/30/2013","10.0000","10","10","01/01/2012","12/31/2013","7.5500",""
"ADVOCATE GOOD SAMARITAN HOSPITAL","140288","IL","2015","2.0000","2","07/01/2011","06/30/2013","4.0000","3","5","01/01/2012","12/31/2013","3.3000",""
"ST ALEXIUS MEDICAL CENTER","140290","IL","2015","3.0000","3","07/01/2011","06/30/2013","5.5000","7","4","01/01/2012","12/31/2013","4.6250",""
"ADVOCATE GOOD SHEPHERD HOSPITAL","140291","IL","2015","1.0000","1","07/01/2011","06/30/2013","4.5000","5","4","01/01/2012","12/31/2013","3.2750",""
"ADVENTIST GLENOAKS","140292","IL","2015","3.0000","3","07/01/2011","06/30/2013","6.0000","6","6","01/01/2012","12/31/2013","4.9500",""
"CROSSROADS COMMUNITY HOSPITAL","140294","IL","2015","4.0000","4","07/01/2011","06/30/2013","5.0000","N/A","5","01/01/2012","12/31/2013","4.6500",""
"FRANCISCAN ST MARGARET HEALTH - HAMMOND","150004","IN","2015","9.0000","9","07/01/2011","06/30/2013","4.5000","3","6","01/01/2012","12/31/2013","6.0750",""
"INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","150006","IN","2015","2.0000","2","07/01/2011","06/30/2013","3.0000","1","5","01/01/2012","12/31/2013","2.6500",""
"ST CATHERINE HOSPITAL INC","150008","IN","2015","1.0000","1","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","1.0000",""
"CLARK MEMORIAL HOSPITAL","150009","IN","2015","3.0000","3","07/01/2011","06/30/2013","4.5000","3","6","01/01/2012","12/31/2013","3.9750",""
"ST JOSEPH HOSPITAL & HEALTH CENTER INC","150010","IN","2015","1.0000","1","07/01/2011","06/30/2013","2.5000","3","2","01/01/2012","12/31/2013","1.9750",""
"MARION GENERAL HOSPITAL","150011","IN","2015","3.0000","3","07/01/2011","06/30/2013","8.0000","10","6","01/01/2012","12/31/2013","6.2500",""
"SAINT JOSEPH REGIONAL MEDICAL CENTER","150012","IN","2015","1.0000","1","07/01/2011","06/30/2013","2.5000","1","4","01/01/2012","12/31/2013","1.9750",""
"FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","150015","IN","2015","3.0000","3","07/01/2011","06/30/2013","3.5000","4","3","01/01/2012","12/31/2013","3.3250",""
"PARKVIEW REGIONAL MEDICAL CENTER","150021","IN","2015","4.0000","4","07/01/2011","06/30/2013","6.0000","4","8","01/01/2012","12/31/2013","5.3000",""
"FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE","150022","IN","2015","3.0000","3","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","3.0000",""
"UNION HOSPITAL INC","150023","IN","2015","8.0000","8","07/01/2011","06/30/2013","6.5000","7","6","01/01/2012","12/31/2013","7.0250",""
"BROADLAWNS MEDICAL CENTER","160101","IA","2015","6.0000","6","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","2.7500",""
"ALLEN HOSPITAL","160110","IA","2015","4.0000","4","07/01/2011","06/30/2013","3.0000","3","3","01/01/2012","12/31/2013","3.3500",""
"FINLEY HOSPITAL","160117","IA","2015","1.0000","1","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","1.0000",""
"FORT MADISON COMMUNITY HOSPITAL","160122","IA","2015","2.0000","2","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","2.0000",""
"LAKES REGIONAL HEALTHCARE","160124","IA","2015","3.0000","3","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","3.0000",""
"SOUTHEAST ALABAMA MEDICAL CENTER","010001","AL","2015","3.0000","3","07/01/2011","06/30/2013","9.0000","9","9","01/01/2012","12/31/2013","6.9000",""
"MARSHALL MEDICAL CENTER SOUTH","010005","AL","2015","1.0000","1","07/01/2011","06/30/2013","2.0000","1","3","01/01/2012","12/31/2013","1.6500",""
"ELIZA COFFEE MEMORIAL HOSPITAL","010006","AL","2015","5.0000","5","07/01/2011","06/30/2013","4.0000","5","3","01/01/2012","12/31/2013","4.3500",""
"MIZELL MEMORIAL HOSPITAL","010007","AL","2015","7.0000","7","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","3.1000",""
"CRENSHAW COMMUNITY HOSPITAL","010008","AL","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"ST VINCENT'S EAST","010011","AL","2015","1.0000","1","07/01/2011","06/30/2013","7.0000","9","5","01/01/2012","12/31/2013","4.9000",""
"DEKALB REGIONAL MEDICAL CENTER","010012","AL","2015","9.0000","9","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","3.8000",""
"SHELBY BAPTIST MEDICAL CENTER","010016","AL","2015","7.0000","7","07/01/2011","06/30/2013","3.0000","3","3","01/01/2012","12/31/2013","4.4000",""
"CALLAHAN EYE HOSPITAL","010018","AL","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"HELEN KELLER MEMORIAL HOSPITAL","010019","AL","2015","3.0000","3","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","1.7000",""
"DALE MEDICAL CENTER","010021","AL","2015","8.0000","8","07/01/2011","06/30/2013","5.0000","N/A","5","01/01/2012","12/31/2013","6.0500",""
"CHEROKEE MEDICAL CENTER","010022","AL","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"BAPTIST MEDICAL CENTER SOUTH","010023","AL","2015","2.0000","2","07/01/2011","06/30/2013","5.5000","6","5","01/01/2012","12/31/2013","4.2750",""
"EAST ALABAMA MEDICAL CENTER","010029","AL","2015","6.0000","6","07/01/2011","06/30/2013","9.5000","9","10","01/01/2012","12/31/2013","8.2750",""
"WEDOWEE HOSPITAL","010032","AL","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"UNIVERSITY OF ALABAMA HOSPITAL","010033","AL","2015","8.0000","8","07/01/2011","06/30/2013","8.0000","9","7","01/01/2012","12/31/2013","8.0000",""
"CULLMAN REGIONAL MEDICAL CENTER","010035","AL","2015","3.0000","3","07/01/2011","06/30/2013","1.5000","1","2","01/01/2012","12/31/2013","2.0250",""
