Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,AMI-7a Performance Rate,AMI-7a Achievement Points,AMI-7a Improvement Points,AMI-7a Measure Score,AMI-8a Performance Rate,AMI-8a Achievement Points,AMI-8a Improvement Points,AMI-8a Measure Score,AMI Condition/Procedure Score
"100030","HEALTH CENTRAL","10000 W COLONIAL DR","Ocoee","FL","34761","ORANGE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","Ashland","AL","36251","CLAY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"470003","UNIVERSITY OF VEMRONT MEDICAL CENTER","111 COLCHESTER AVE","Burlington","VT","05401","CHITTENDEN","Not Available","Not Available","Not Available","Not Available","0.98077","6 out of 10","2 out of 9","6 out of 10","6"
"490066","SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER","100 SENTARA CIRCLE","Williamsburg","VA","23188","JAMES CITY CO.","Not Available","Not Available","Not Available","Not Available","0.95238","0 out of 10","0 out of 9","0 out of 10","0"
"330188","MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER","5300 MILITARY ROAD","Lewiston","NY","14092","NIAGARA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"040080","HARRIS HOSPITAL","1205 MCLAIN STREET","Newport","AR","72112","JACKSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"190118","DESOTO REGIONAL HEALTH SYSTEM","207 JEFFERSON STREET","Mansfield","LA","71052","DE SOTO","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","Lake Havasu City","AZ","864035683","MOHAVE","Not Available","Not Available","Not Available","Not Available","0.94737","0 out of 10","5 out of 9","5 out of 10","5"
"360059","METROHEALTH SYSTEM","2500 METROHEALTH DRIVE","Cleveland","OH","44109","CUYAHOGA","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"530015","ST JOHNS MEDICAL CENTER","625 EAST BROADWAY","Jackson","WY","83001","TETON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360180","CLEVELAND CLINIC","9500 EUCLID AVENUE","Cleveland","OH","44195","CUYAHOGA","Not Available","Not Available","Not Available","Not Available","0.89474","0 out of 10","5 out of 9","5 out of 10","5"
"390164","UPMC PRESBYTERIAN SHADYSIDE","200 LOTHROP STREET","Pittsburgh","PA","15213","ALLEGHENY","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"380020","MCKENZIE-WILLAMETTE MEDICAL CENTER","1460 G STREET","Springfield","OR","97477","LANE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"040019","FORREST CITY MEDICAL CENTER","1601 NEWCASTLE ROAD","Forrest City ","AR","72335-2218","ST. FRANCIS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"530025","IVINSON MEMORIAL HOSPITAL","255 N 30TH","Laramie","WY","82072-5140","ALBANY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"530032","EVANSTON REGIONAL HOSPITAL","190 ARROWHEAD DR","Evanston","WY","82930","UINTA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050072","KAISER FOUNDATION HOSPITAL - WALNUT CREEK","1425 S MAIN STREET","Walnut Creek","CA","94596","CONTRA COSTA","Not Available","Not Available","Not Available","Not Available","0.97500","5 out of 10","4 out of 9","5 out of 10","5"
"390013","EVANGELICAL COMMUNITY HOSPITAL","ONE HOSPITAL DRIVE","Lewisburg","PA","17837","UNION","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390256","MILTON S HERSHEY MEDICAL CENTER","500 UNIVERSITY DRIVE","Hershey","PA","17033","DAUPHIN","Not Available","Not Available","Not Available","Not Available","0.96296","2 out of 10","6 out of 9","6 out of 10","6"
"180128","THREE RIVERS MEDICAL CENTER","2485 HIGHWAY 644","Louisa","KY","41230","LAWRENCE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"440173","PARKWEST MEDICAL CENTER","9352 PARK WEST BLVD","Knoxville","TN","37923","KNOX","Not Available","Not Available","Not Available","Not Available","0.97826","5 out of 10","1 out of 9","5 out of 10","5"
"050603","SADDLEBACK MEMORIAL MEDICAL CENTER","24451 HEALTH CENTER DRIVE","Laguna Hills","CA","92653","ORANGE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"060104","ST ANTHONY NORTH HEALTH CAMPUS","14300 ORCHARD PARKWAY","Broomfield","CO","80023","ADAMS","Not Available","Not Available","Not Available","Not Available","0.93478","0 out of 10","2 out of 9","2 out of 10","2"
"140181","SOUTH SHORE HOSPITAL","8012 SOUTH CRANDON AVENUE","Chicago","IL","60617","COOK","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050758","MONTCLAIR HOSPITAL MEDICAL CENTER","5000 SAN BERNARDINO ST","Montclair","CA","91763","SAN BERNARDINO","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"150157","ST VINCENT CARMEL HOSPITAL INC","13500 N MERIDIAN ST","Carmel","IN","46032","HAMILTON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"380102","SACRED HEART MEDICAL CENTER - RIVERBEND","3333 RIVERBEND DRIVE","Springfield","OR","97477","LANE","Not Available","Not Available","Not Available","Not Available","0.97333","4 out of 10","6 out of 9","6 out of 10","6"
"100073","HOLY CROSS HOSPITAL INC","4725 N FEDERAL HWY","Ft Lauderdale","FL","33308","BROWARD","Not Available","Not Available","Not Available","Not Available","0.97674","5 out of 10","6 out of 9","6 out of 10","6"
"260176","DES PERES HOSPITAL","2345 DOUGHERTY FERRY ROAD","St Louis","MO","63131","ST. LOUIS","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","Not Available","10 out of 10","10"
"420055","CAROLINAS HOSPITAL SYSTEM MARION","2829 E HWY 76","Mullins","SC","29574","MARION","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"170027","PRATT REGIONAL MEDICAL CENTER","200 COMMODORE ST","Pratt","KS","67124","PRATT","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"110229","PIEDMONT NEWNAN HOSPITAL, INC","745 POPLAR ROAD","Newnan","GA","30263","COWETA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"110105","COLQUITT REGIONAL MEDICAL CENTER","3131 THOMASVILLE HWY BOX 40","Moultrie","GA","31768","COLQUITT","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"420053","NEWBERRY COUNTY MEMORIAL HOSPITAL","2669 KINARD ST PO BOX 497","Newberry","SC","29108","NEWBERRY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520160","APPLETON MEDICAL CENTER","1818 N MEADE ST","Appleton","WI","54911","OUTAGAMIE","Not Available","Not Available","Not Available","Not Available","0.95556","1 out of 10","0 out of 9","1 out of 10","1"
"390204","NAZARETH HOSPITAL","2601 HOLME AVE","Philadelphia","PA","19152","PHILADELPHIA","Not Available","Not Available","Not Available","Not Available","0.77778","0 out of 10","5 out of 9","5 out of 10","5"
"390004","HOLY SPIRIT HOSPITAL","503 NORTH 21ST STREET","Camp Hill","PA","17011","CUMBERLAND","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"520083","ST MARYS HOSPITAL","700 SOUTH PARK ST","Madison","WI","53715","DANE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"490022","MARY WASHINGTON HOSPITAL, INC","1001 SAM PERRY BOULEVARD","Fredericksburg","VA","22401","FREDERICKSBURG CITY","Not Available","Not Available","Not Available","Not Available","0.98182","6 out of 10","2 out of 9","6 out of 10","6"
"340049","NORTH CAROLINA SPECIALTY HOSPITAL","3916 BEN FRANKLIN BOULEVARD","Durham","NC","27704","DURHAM","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360161","ST JOSEPH HEALTH CENTER","667 EASTLAND AVE SE","Warren","OH","44481","TRUMBULL","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"260050","ST FRANCIS HOSPITAL & HEALTH SERVICES","2016 SOUTH MAIN ST","Maryville","MO","64468-2655","NODAWAY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"340144","DAVIS REGIONAL MEDICAL CENTER","218 OLD MOCKSBVILLE RD PO BOX 1823","Statesville","NC","28625","IREDELL","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"220077","BAYSTATE MEDICAL CENTER","759 CHESTNUT STREET","Springfield","MA","01199","HAMPDEN","Not Available","Not Available","Not Available","Not Available","0.97391","4 out of 10","1 out of 9","4 out of 10","4"
"500014","PROVIDENCE REGIONAL MEDICAL CENTER EVERETT","1321 COLBY AVENUE","Everett","WA","98201","SNOHOMISH","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"050013","ST HELENA HOSPITAL","10 WOODLAND ROAD","Saint Helena","CA","94574","NAPA","Not Available","Not Available","Not Available","Not Available","0.93333","0 out of 10","Not Available","0 out of 10","0"
"030103","MAYO CLINIC HOSPITAL","5777 EAST MAYO BOULEVARD","Phoenix","AZ","85054","MARICOPA","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"520194","ORTHOPAEDIC HOSPITAL OF WISCONSIN","475 W RIVER WOODS PKWY","Glendale","WI","53212","MILWAUKEE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450289","HARRIS HEALTH SYSTEM","2525 HOLLY HALL","Houston","TX","77054","HARRIS","Not Available","Not Available","Not Available","Not Available","0.96774","3 out of 10","0 out of 9","3 out of 10","3"
"670049","NORTH CENTRAL SURGICAL CENTER LLP","9301 NORTH CENTRAL EXPRESSWAY SUITE 100","Dallas","TX","75231","DALLAS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050390","HEMET VALLEY MEDICAL CENTER","1117 EAST DEVONSHIRE","Hemet","CA","92543","RIVERSIDE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"140119","RUSH UNIVERSITY MEDICAL CENTER","1653 WEST CONGRESS PARKWAY","Chicago","IL","60612","COOK","Not Available","Not Available","Not Available","Not Available","0.95238","0 out of 10","4 out of 9","4 out of 10","4"
"370180","CHICKASAW NATION MEDICAL CENTER","1921 STONECIPHER BLVD","Ada","OK","74820","PONTOTOC","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"260177","LIBERTY HOSPITAL","2525 GLENN HENDREN DR","Liberty","MO","64068-9625","CLAY","Not Available","Not Available","Not Available","Not Available","0.96667","3 out of 10","5 out of 9","5 out of 10","5"
"310014","COOPER UNIVERSITY HOSPITAL","1 COOPER PLAZA","Camden","NJ","08103","CAMDEN","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"420015","BAPTIST EASLEY HOSPITAL","PO BOX 2129","Easley","SC","29641","PICKENS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050054","SAN GORGONIO MEMORIAL HOSPITAL","600 NORTH HIGHLAND SPRINGS AVENUE","Banning","CA","92220","RIVERSIDE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"440031","ROANE MEDICAL CENTER","8045 ROANE MEDICAL CENTER DRIVE","Harriman","TN","37748","ROANE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"340133","MARTIN GENERAL HOSPITAL","310 S MCCASKEY RD P O BOX 1128","Williamston","NC","27892","MARTIN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"440125","FORT SANDERS REGIONAL MEDICAL CENTER","1901 W CLINCH AVE","Knoxville","TN","37916","KNOX","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"070018","GREENWICH HOSPITAL ASSOCIATION","5 PERRYRIDGE RD","Greenwich","CT","06830","FAIRFIELD","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"360016","JEWISH HOSPITAL, LLC","4777 EAST GALBRAITH ROAD","Cincinnati","OH","45236","HAMILTON","Not Available","Not Available","Not Available","Not Available","0.93103","0 out of 10","3 out of 9","3 out of 10","3"
"100236","FAWCETT MEMORIAL HOSPITAL","21298 OLEAN BLVD","Port Charlotte","FL","33952","CHARLOTTE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"350019","ALTRU HOSPITAL","1200 S COLUMBIA RD","Grand Forks","ND","58201","GRAND FORKS","Not Available","Not Available","Not Available","Not Available","0.97368","4 out of 10","8 out of 9","8 out of 10","8"
"140148","MEMORIAL MEDICAL CENTER","701 N FIRST ST","Springfield","IL","62781","SANGAMON","Not Available","Not Available","Not Available","Not Available","0.91667","0 out of 10","0 out of 9","0 out of 10","0"
"110233","SOUTHEASTERN REGIONAL MEDICAL CENTER","600 PARKWAY NORTH","Newnan","GA","30265","COWETA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"040118","NEA BAPTIST MEMORIAL HOSPITAL","4800 EAST JOHNSON AVENUE","Jonesboro","AR","72401","CRAIGHEAD","Not Available","Not Available","Not Available","Not Available","0.96970","4 out of 10","4 out of 9","4 out of 10","4"
"190039","WEST JEFFERSON MEDICAL CENTER","1101 MEDICAL CENTER BLVD","Marrero","LA","70072","JEFFERSON","Not Available","Not Available","Not Available","Not Available","0.97436","5 out of 10","8 out of 9","8 out of 10","8"
"140034","ST MARYS HOSPITAL","400 NORTH PLEASANT AVENUE","Centralia","IL","62801","MARION","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520193","AURORA BAYCARE MEDICAL CTR","2845 GREENBRIER RD","Green Bay","WI","54313","BROWN","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"360230","HILLCREST HOSPITAL","6780 MAYFIELD ROAD","Mayfield Heights","OH","44124","CUYAHOGA","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"360010","UNION HOSPITAL","659 BOULEVARD","Dover","OH","44622","TUSCARAWAS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"160124","LAKES REGIONAL HEALTHCARE","2301 HIGHWAY 71","Spirit Lake","IA","51360","DICKINSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100087","SARASOTA MEMORIAL HOSPITAL","1700 S TAMIAMI TRL","Sarasota","FL","34239","SARASOTA","Not Available","Not Available","Not Available","Not Available","0.88889","0 out of 10","0 out of 9","0 out of 10","0"
"140217","PRESENCE SAINT JOSEPH HOSPITAL - ELGIN","77 N AIRLITE STREET","Elgin","IL","60123","KANE","Not Available","Not Available","Not Available","Not Available","0.94444","0 out of 10","8 out of 9","8 out of 10","8"
"190088","SPRINGHILL MEDICAL CENTER","2001 DOCTORS DRIVE","Springhill","LA","71075","WEBSTER","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"340131","CAROLINA EAST MEDICAL CENTER","2000 NEUSE BLVD","New Bern","NC","28560","CRAVEN","Not Available","Not Available","Not Available","Not Available","0.96875","3 out of 10","5 out of 9","5 out of 10","5"
"340141","NEW HANOVER REGIONAL MEDICAL CENTER","2131 S 17TH ST BOX 9000","Wilmington","NC","28401","NEW HANOVER","Not Available","Not Available","Not Available","Not Available","0.97268","4 out of 10","6 out of 9","6 out of 10","6"
"330023","VASSAR BROTHERS MEDICAL CENTER","45 READE PLACE","Poughkeepsie","NY","12601","DUTCHESS","Not Available","Not Available","Not Available","Not Available","0.96053","2 out of 10","0 out of 9","2 out of 10","2"
"050243","DESERT REGIONAL MEDICAL CENTER","1150 NORTH INDIAN CANYON DRIVE","Palm Springs","CA","92262","RIVERSIDE","Not Available","Not Available","Not Available","Not Available","0.92000","0 out of 10","0 out of 9","0 out of 10","0"
"050292","RIVERSIDE COUNTY REGIONAL MEDICAL CENTER","26520 CACTUS AVENUE","Moreno Valley","CA","92555","RIVERSIDE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","Grove Hill","AL","36451","CLARKE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"310118","MEADOWLANDS HOSPITAL MEDICAL CENTER","55 MEADOWLANDS PKWY","Secaucus","NJ","07094","HUDSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"040029","CONWAY REGIONAL MEDICAL CENTER","2302 COLLEGE AVENUE","Conway","AR","72034-6297","FAULKNER","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"520089","MERITER HOSPITAL","202 S PARK ST","Madison","WI","53715","DANE","Not Available","Not Available","Not Available","Not Available","0.94872","0 out of 10","7 out of 9","7 out of 10","7"
"160089","OTTUMWA REGIONAL HEALTH CENTER","1001 E PENNSYLVANIA","Ottumwa","IA","52501","WAPELLO","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","Not Available","10 out of 10","10"
"180050","HARLAN ARH HOSPITAL","81 BALL PARK ROAD","Harlan","KY","40831","HARLAN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390057","GRAND VIEW HOSPITAL","700 LAWN AVENUE","Sellersville","PA","18960","BUCKS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"150097","MAJOR HOSPITAL","150 W WASHINGTON ST","Shelbyville","IN","46176","SHELBY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","Soldotna","AK","99669","KENAI-COOK INLET","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390226","PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS","800 SPRUCE STREET","Philadelphia","PA","19107","PHILADELPHIA","Not Available","Not Available","Not Available","Not Available","0.93333","0 out of 10","0 out of 9","0 out of 10","0"
"460006","LDS HOSPITAL","8TH AVENUE AND C STREET","Salt Lake City","UT","84143","SALT LAKE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"030011","CARONDELET ST JOSEPH'S HOSPITAL","350 NORTH WILMOT ROAD","Tucson","AZ","85711","PIMA","Not Available","Not Available","Not Available","Not Available","0.95556","1 out of 10","0 out of 9","1 out of 10","1"
"190183","LEONARD J CHABERT MEDICAL CENTER","1978 INDUSTRIAL BLVD","Houma","LA","70363","TERREBONNE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"490044","SENTARA OBICI HOSPITAL","2800 GODWIN BOULEVARD","Suffolk","VA","23434","SUFFOLK CITY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050320","HIGHLAND HOSPITAL","1411 E 31ST STREET","Oakland","CA","94602","ALAMEDA","Not Available","Not Available","Not Available","Not Available","0.96970","4 out of 10","Not Available","4 out of 10","4"
"450213","UNIVERSITY HEALTH SYSTEM","4502 MEDICAL DR","San Antonio","TX","782504493","BEXAR","Not Available","Not Available","Not Available","Not Available","0.86667","0 out of 10","0 out of 9","0 out of 10","0"
"100316","PALM BAY HOSPITAL","1425 MALABAR RD, NE","Palm Bay","FL","32907","BREVARD","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050078","PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO","1300 W 7TH ST","San Pedro","CA","90732","LOS ANGELES","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"250095","SOUTH SUNFLOWER COUNTY HOSPITAL","121 E BAKER ST","Indianola","MS","38751","SUNFLOWER","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"180027","MURRAY-CALLOWAY COUNTY HOSPITAL","803 POPLAR STREET","Murray","KY","42071","CALLOWAY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"260091","SSM ST MARYS HEALTH CENTER","6420 CLAYTON RD","Richmond Heights","MO","63117-1811","ST. LOUIS","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"150017","LUTHERAN HOSPITAL OF INDIANA","7950 W JEFFERSON BLVD","Fort Wayne","IN","46804","ALLEN","Not Available","Not Available","Not Available","Not Available","0.94366","0 out of 10","3 out of 9","3 out of 10","3"
"150169","COMMUNITY HOSPITAL NORTH","7150 CLEARVISTA DR","Indianapolis","IN","46256","MARION","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"030093","BANNER DEL E WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","Mesa","AZ","85202","MARICOPA","Not Available","Not Available","Not Available","Not Available","0.94872","0 out of 10","6 out of 9","6 out of 10","6"
"190297","DOCTORS HOSPITAL AT DEER CREEK LLC","815 SOUTH 10TH STREET","Leesville","LA","71446","VERNON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"180045","ST ELIZABETH FLORENCE","4900 HOUSTON ROAD","Florence","KY","41042","BOONE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100285","MEMORIAL HOSPITAL MIRAMAR","1901 SW 172ND AVE","Miramar","FL","33029","BROWARD","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"250141","BAPTIST MEMORIAL HOSPITAL DESOTO","7601 SOUTHCREST PARKWAY","Southaven","MS","38671","DE SOTO","Not Available","Not Available","Not Available","Not Available","0.98592","7 out of 10","0 out of 9","7 out of 10","7"
"520102","AURORA LAKELAND MEDICAL CENTER","W3985 COUNTY ROAD NN","Elkhorn","WI","53121","WALWORTH","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"060004","PLATTE VALLEY MEDICAL CENTER","1600 PRAIRIE CENTER PARKWAY","Brighton","CO","80601","ADAMS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"240078","FAIRVIEW SOUTHDALE HOSPITAL","6401 FRANCE AVENUE SOUTH","Edina","MN","55435","HENNEPIN","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"050714","SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ","2900 CHANTICLEER AVENUE","Santa Cruz","CA","95065","SANTA CRUZ","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"340145","CAROLINAS HEALTHCARE SYSTEM LINCOLN","433 MCALISTER RD","Lincolnton","NC","28092","LINCOLN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360066","ST RITA'S MEDICAL CENTER","730 WEST MARKET STREET","Lima","OH","45801","ALLEN","Not Available","Not Available","Not Available","Not Available","0.92000","0 out of 10","0 out of 9","0 out of 10","0"
"160147","GRINNELL REGIONAL MEDICAL CENTER","210 FOURTH AVENUE","Grinnell","IA","50112","POWESHIEK","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"320033","LOS ALAMOS MEDICAL CENTER","3917 WEST ROAD","Los Alamos","NM","87544","LOS ALAMOS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520066","MERCY HEALTH SYSTEM CORP","1000 MINERAL POINT AVE","Janesville","WI","53547","ROCK","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"440082","SAINT THOMAS WEST HOSPITAL","4220 HARDING RD, PO BOX 380","Nashville","TN","37205","DAVIDSON","Not Available","Not Available","Not Available","Not Available","0.98462","7 out of 10","3 out of 9","7 out of 10","7"
"510058","CAMDEN CLARK MEDICAL CENTER","800 GARFIELD AVE","Parkersburg","WV","26101","WOOD","Not Available","Not Available","Not Available","Not Available","0.95349","0 out of 10","6 out of 9","6 out of 10","6"
"500072","OLYMPIC MEDICAL CENTER","939 CAROLINE ST","Port Angeles","WA","98362","CLALLAM","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","Tucson","AZ","85712","PIMA","Not Available","Not Available","Not Available","Not Available","0.98077","6 out of 10","5 out of 9","6 out of 10","6"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","Pell City","AL","35125","SAINT CLAIR","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"260096","NORTH KANSAS CITY HOSPITAL","2800 CLAY EDWARDS DRIVE","North Kansas City","MO","64116-3220","CLAY","Not Available","Not Available","Not Available","Not Available","0.96429","3 out of 10","0 out of 9","3 out of 10","3"
"330246","ST CHARLES HOSPITAL","200 BELLE TERRE ROAD","Port Jefferson","NY","11777","SUFFOLK","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"150042","GOOD SAMARITAN HOSPITAL","520 S 7TH ST","Vincennes","IN","47591","KNOX","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"260009","BOTHWELL REGIONAL HEALTH CENTER","601 E 14TH ST","Sedalia","MO","65301-5972","PETTIS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360354","WEST CHESTER HOSPITAL, LLC","7700 UNIVERSITY DRIVE","West Chester","OH","45069","BUTLER","Not Available","Not Available","Not Available","Not Available","0.96774","3 out of 10","1 out of 9","3 out of 10","3"
"050435","FALLBROOK HOSPITAL DISTRICT","624 E ELDER ST","Fallbrook","CA","92028","SAN DIEGO","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360092","MEMORIAL HOSPITAL","500 LONDON AVENUE","Marysville","OH","43040","UNION","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
