Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1_Performance_Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score
"040062","ST EDWARD MERCY MEDICAL CENTER","7301 ROGERS AVE","Fort Smith","AR","72903","SEBASTIAN","0.833128","0 out of 10","0 out of 9","0 out of 10","0.862200","0 out of 10","0 out of 9","0 out of 10","0.858629","0 out of 10","0 out of 9","0 out of 10","0.388518","10 out of 10","9 out of 9","10 out of 10","0.690","0 out of 10","4 out of 9","4 out of 10"
"040067","MAGNOLIA HOSPITAL","101 HOSPITAL DRIVE","Magnolia ","AR","71754-0629","COLUMBIA","0.848154","Not Available","Not Available","Not Available","0.884850","2 out of 10","6 out of 9","6 out of 10","0.844551","0 out of 10","0 out of 9","0 out of 10","0.487749","7 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"040069","GREAT RIVER MEDICAL CENTER","1520 N DIVISION STREET","Blytheville","AR","72315","MISSISSIPPI","0.856033","Not Available","Not Available","Not Available","0.875680","0 out of 10","Not Available","0 out of 10","0.901428","8 out of 10","9 out of 9","9 out of 10","0.486465","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"040071","JEFFERSON REGIONAL MEDICAL CENTER","1600 WEST 40TH AVENUE","Pine Bluff","AR","71603","JEFFERSON","0.856468","6 out of 10","4 out of 9","6 out of 10","0.880644","0 out of 10","0 out of 9","0 out of 10","0.886208","2 out of 10","0 out of 9","2 out of 10","0.382225","10 out of 10","9 out of 9","10 out of 10","0.207","5 out of 10","3 out of 9","5 out of 10"
"040072","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","1703 NORTH BUERKLE ROAD","Stuttgart","AR","72160","ARKANSAS","0.841146","Not Available","Not Available","Not Available","0.872027","0 out of 10","0 out of 9","0 out of 10","0.904497","10 out of 10","Not Available","10 out of 10","0.484855","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"040074","NORTH METRO MEDICAL CENTER","1400 BRADEN STREET","Jacksonville","AR","72078-0159","PULASKI","0.853733","Not Available","Not Available","Not Available","0.879474","Not Available","Not Available","Not Available","0.863299","0 out of 10","0 out of 9","0 out of 10","0.484848","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"040076","BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY","1001 SCHNEIDER DRIVE","Malvern","AR","72104","HOT SPRING","0.856269","Not Available","Not Available","Not Available","0.879347","0 out of 10","0 out of 9","0 out of 10","0.884866","1 out of 10","0 out of 9","1 out of 10","0.473352","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"040078","NATIONAL PARK MEDICAL CENTER","1910 MALVERN AVENUE","Hot Springs","AR","71901","GARLAND","0.859482","Not Available","Not Available","Not Available","0.853370","0 out of 10","0 out of 9","0 out of 10","0.844757","0 out of 10","0 out of 9","0 out of 10","0.386355","10 out of 10","9 out of 9","10 out of 10","1.628","0 out of 10","0 out of 9","0 out of 10"
"040080","HARRIS HOSPITAL","1205 MCLAIN STREET","Newport","AR","72112","JACKSON","0.848505","Not Available","Not Available","Not Available","0.866824","Not Available","Not Available","Not Available","0.890808","4 out of 10","4 out of 9","4 out of 10","0.546070","4 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"040084","SALINE MEMORIAL HOSPITAL","#1 MEDICAL PARK DRIVE","Benton","AR","72015","SALINE","0.863570","10 out of 10","9 out of 9","10 out of 10","0.857964","0 out of 10","1 out of 9","1 out of 10","0.883289","1 out of 10","2 out of 9","2 out of 10","0.346008","10 out of 10","9 out of 9","10 out of 10","0.604","0 out of 10","0 out of 9","0 out of 10"
"040085","HELENA REGIONAL MEDICAL CENTER","1801 MARTIN LUTHER KING DRIVE","Helena","AR","72342-0788","PHILLIPS","0.857155","Not Available","Not Available","Not Available","0.869214","0 out of 10","0 out of 9","0 out of 10","0.890055","Not Available","Not Available","Not Available","0.482618","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"040088","MEDICAL CENTER SOUTH ARKANSAS","700 WEST GROVE STREET","El Dorado","AR","71731-1998","UNION","0.860968","9 out of 10","9 out of 9","9 out of 10","0.892354","6 out of 10","8 out of 9","8 out of 10","0.884579","1 out of 10","3 out of 9","3 out of 10","0.429793","10 out of 10","9 out of 9","10 out of 10","0.696","0 out of 10","0 out of 9","0 out of 10"
"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","9601 INTERSTATE 630, EXIT 7","Little Rock","AR","72205","PULASKI","0.855019","5 out of 10","6 out of 9","6 out of 10","0.884410","2 out of 10","0 out of 9","2 out of 10","0.872753","0 out of 10","0 out of 9","0 out of 10","0.513678","6 out of 10","6 out of 9","6 out of 10","0.437","1 out of 10","0 out of 9","1 out of 10"
"040118","NEA BAPTIST MEMORIAL HOSPITAL","4800 EAST JOHNSON AVENUE","Jonesboro","AR","72401","CRAIGHEAD","0.844177","0 out of 10","0 out of 9","0 out of 10","0.834817","0 out of 10","0 out of 9","0 out of 10","0.886013","2 out of 10","0 out of 9","2 out of 10","0.364598","10 out of 10","9 out of 9","10 out of 10","1.446","0 out of 10","0 out of 9","0 out of 10"
"040119","WHITE RIVER MEDICAL CENTER","1710 HARRISON STREET","Batesville","AR","72503-2197","INDEPENDENCE","0.821005","0 out of 10","0 out of 9","0 out of 10","0.852835","0 out of 10","0 out of 9","0 out of 10","0.866911","0 out of 10","0 out of 9","0 out of 10","0.555864","4 out of 10","0 out of 9","4 out of 10","1.080","0 out of 10","6 out of 9","6 out of 10"
"040134","ARKANSAS HEART HOSPITAL, LLC","1701 S SHACKLEFORD ROAD","Little Rock","AR","72211","PULASKI","0.875128","10 out of 10","9 out of 9","10 out of 10","0.871036","0 out of 10","1 out of 9","1 out of 10","0.874577","0 out of 10","0 out of 9","0 out of 10","0.375167","10 out of 10","0 out of 9","10 out of 10","0.422","1 out of 10","0 out of 9","1 out of 10"
"040137","ST VINCENT MEDICAL CENTER/NORTH","2215 WILDWOOD AVENUE","Sherwood","AR","72120","PULASKI","0.857780","Not Available","Not Available","Not Available","0.886905","3 out of 10","2 out of 9","3 out of 10","0.890422","4 out of 10","0 out of 9","4 out of 10","0.449949","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"040147","ARKANSAS SURGICAL HOSPITAL","5201 NORTH SHORE DRIVE","North Little Rock","AR","72118","PULASKI","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.365205","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"040152","PHYSICIANS' SPECIALTY HOSPITAL","3873 NORTH PARKVIEW DRIVE","Fayetteville","AR","72703","WASHINGTON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.888179","Not Available","Not Available","Not Available","0.574766","3 out of 10","2 out of 9","3 out of 10","Not Available","Not Available","Not Available","Not Available"
"040153","WADLEY REGIONAL MEDICAL CENTER AT HOPE","2001 SOUTH MAIN","Hope","AR","71801","HEMPSTEAD","0.845686","Not Available","Not Available","Not Available","0.888460","4 out of 10","Not Available","4 out of 10","0.901553","8 out of 10","Not Available","8 out of 10","0.492450","7 out of 10","Not Available","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"050002","ST ROSE HOSPITAL","27200 CALAROGA AVE","Hayward","CA","94545","ALAMEDA","0.853897","4 out of 10","4 out of 9","4 out of 10","0.868263","0 out of 10","0 out of 9","0 out of 10","0.889100","3 out of 10","0 out of 9","3 out of 10","0.465739","9 out of 10","9 out of 9","9 out of 10","0.407","1 out of 10","0 out of 9","1 out of 10"
"050006","ST JOSEPH HOSPITAL","2700 DOLBEER ST","Eureka","CA","95501","HUMBOLDT","0.859002","7 out of 10","8 out of 9","8 out of 10","0.894967","7 out of 10","7 out of 9","7 out of 10","0.893338","5 out of 10","7 out of 9","7 out of 10","0.402807","10 out of 10","9 out of 9","10 out of 10","0.541","0 out of 10","0 out of 9","0 out of 10"
"050007","MILLS-PENINSULA MEDICAL CENTER","1501 TROUSDALE DRIVE","Burlingame","CA","94010","SAN MATEO","0.860283","8 out of 10","9 out of 9","9 out of 10","0.866846","0 out of 10","0 out of 9","0 out of 10","0.879619","0 out of 10","0 out of 9","0 out of 10","0.747983","0 out of 10","0 out of 9","0 out of 10","0.299","3 out of 10","0 out of 9","3 out of 10"
"050008","CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP","601 DUBOCE AVE","San Francisco","CA","94117","SAN FRANCISCO","0.855939","Not Available","Not Available","Not Available","0.880620","Not Available","Not Available","Not Available","0.863211","Not Available","Not Available","Not Available","0.390442","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"050009","QUEEN OF THE VALLEY MEDICAL CENTER","1000 TRANCAS ST","Napa","CA","94558","NAPA","0.871171","10 out of 10","9 out of 9","10 out of 10","0.874859","0 out of 10","0 out of 9","0 out of 10","0.890936","4 out of 10","0 out of 9","4 out of 10","0.563930","3 out of 10","5 out of 9","5 out of 10","1.572","0 out of 10","0 out of 9","0 out of 10"
"050013","ST HELENA HOSPITAL","10 WOODLAND ROAD","Saint Helena","CA","94574","NAPA","0.861389","9 out of 10","Not Available","9 out of 10","0.882532","1 out of 10","4 out of 9","4 out of 10","0.879308","0 out of 10","0 out of 9","0 out of 10","0.451529","9 out of 10","9 out of 9","9 out of 10","1.041","0 out of 10","0 out of 9","0 out of 10"
"050014","SUTTER AMADOR HOSPITAL","200 MISSION BLVD","Jackson","CA","95642","AMADOR","0.850926","Not Available","Not Available","Not Available","0.868296","0 out of 10","0 out of 9","0 out of 10","0.872128","0 out of 10","0 out of 9","0 out of 10","0.523816","6 out of 10","4 out of 9","6 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"050017","MERCY GENERAL HOSPITAL","4001 J ST","Sacramento","CA","95819","SACRAMENTO","0.862545","10 out of 10","9 out of 9","10 out of 10","0.886680","3 out of 10","5 out of 9","5 out of 10","0.856349","0 out of 10","0 out of 9","0 out of 10","0.604423","1 out of 10","3 out of 9","3 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"050018","PACIFIC ALLIANCE MEDICAL CENTER","531 W COLLEGE ST","Los Angeles","CA","90012","LOS ANGELES","Not Available","Not Available","Not Available","Not Available","0.892267","Not Available","Not Available","Not Available","0.887917","Not Available","Not Available","Not Available","0.433781","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"050022","RIVERSIDE COMMUNITY HOSPITAL","4445 MAGNOLIA AVENUE","Riverside","CA","92501","RIVERSIDE","0.846982","0 out of 10","0 out of 9","0 out of 10","0.882705","1 out of 10","0 out of 9","1 out of 10","0.883235","1 out of 10","0 out of 9","1 out of 10","0.482439","8 out of 10","6 out of 9","8 out of 10","0.440","0 out of 10","0 out of 9","0 out of 10"
"050024","PARADISE VALLEY HOSPITAL","2400 EAST 4TH ST","National City","CA","91950","SAN DIEGO","0.872548","Not Available","Not Available","Not Available","0.900934","10 out of 10","0 out of 9","10 out of 10","0.898048","7 out of 10","0 out of 9","7 out of 10","0.418443","10 out of 10","9 out of 9","10 out of 10","3.340","0 out of 10","0 out of 9","0 out of 10"
"050026","GROSSMONT HOSPITAL","5555 GROSSMONT CENTER DRIVE BOX 58","La Mesa","CA","91942","SAN DIEGO","0.855359","5 out of 10","6 out of 9","6 out of 10","0.855990","0 out of 10","0 out of 9","0 out of 10","0.904382","10 out of 10","9 out of 9","10 out of 10","0.652630","0 out of 10","4 out of 9","4 out of 10","0.179","6 out of 10","0 out of 9","6 out of 10"
"050028","MAD RIVER COMMUNITY HOSPITAL","3800 JANES RD","Arcata","CA","95521","HUMBOLDT","0.855003","Not Available","Not Available","Not Available","0.878239","Not Available","Not Available","Not Available","0.871343","0 out of 10","0 out of 9","0 out of 10","0.437512","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"050030","OROVILLE HOSPITAL","2767 OLIVE HIGHWAY","Oroville","CA","95966","BUTTE","0.848138","Not Available","Not Available","Not Available","0.887206","3 out of 10","0 out of 9","3 out of 10","0.895489","6 out of 10","0 out of 9","6 out of 10","0.513113","6 out of 10","0 out of 9","6 out of 10","3.842","0 out of 10","0 out of 9","0 out of 10"
"050036","BAKERSFIELD MEMORIAL HOSPITAL","420 34TH ST BOX 1888","Bakersfield","CA","93301","KERN","0.860915","9 out of 10","9 out of 9","9 out of 10","0.883201","1 out of 10","3 out of 9","3 out of 10","0.873514","0 out of 10","0 out of 9","0 out of 10","0.528045","5 out of 10","0 out of 9","5 out of 10","0.096","8 out of 10","5 out of 9","8 out of 10"
"050038","SANTA CLARA VALLEY MEDICAL CENTER","751 SOUTH BASCOM AVENUE","San Jose","CA","95128","SANTA CLARA","0.856225","Not Available","Not Available","Not Available","0.885053","2 out of 10","0 out of 9","2 out of 10","0.893598","5 out of 10","5 out of 9","5 out of 10","0.671871","0 out of 10","5 out of 9","5 out of 10","0.200","5 out of 10","0 out of 9","5 out of 10"
"050039","ENLOE MEDICAL CENTER","1531 ESPLANADE","Chico","CA","95926","BUTTE","0.853478","4 out of 10","0 out of 9","4 out of 10","0.858767","0 out of 10","0 out of 9","0 out of 10","0.855202","0 out of 10","0 out of 9","0 out of 10","0.759764","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"050040","LAC/OLIVE VIEW-UCLA MEDICAL CENTER","14445 OLIVE VIEW DRIVE","Sylmar","CA","91342","LOS ANGELES","0.856416","Not Available","Not Available","Not Available","0.881850","Not Available","Not Available","Not Available","0.877436","Not Available","Not Available","Not Available","0.471511","8 out of 10","9 out of 9","9 out of 10","0.829","0 out of 10","0 out of 9","0 out of 10"
"050042","ST ELIZABETH COMMUNITY HOSPITAL","2550 SISTER MARY COLUMBA DRIVE","Red Bluff","CA","96080","TEHAMA","0.856768","Not Available","Not Available","Not Available","0.876000","0 out of 10","0 out of 9","0 out of 10","0.894693","6 out of 10","4 out of 9","6 out of 10","0.387515","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"050043","ALTA BATES SUMMIT MEDICAL CENTER","350 HAWTHORNE AVENUE","Oakland","CA","94609","ALAMEDA","0.862900","10 out of 10","9 out of 9","10 out of 10","0.895480","7 out of 10","4 out of 9","7 out of 10","0.894203","5 out of 10","0 out of 9","5 out of 10","0.450312","9 out of 10","9 out of 9","9 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"050045","EL CENTRO REGIONAL MEDICAL CENTER","1415 ROSS AVENUE","El Centro","CA","92243","IMPERIAL","0.860175","8 out of 10","9 out of 9","9 out of 10","0.889608","4 out of 10","6 out of 9","6 out of 10","0.877659","0 out of 10","3 out of 9","3 out of 10","0.594336","2 out of 10","0 out of 9","2 out of 10","0.763","0 out of 10","0 out of 9","0 out of 10"
"050047","CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP","2333 BUCHANAN STREET","San Francisco","CA","94115","SAN FRANCISCO","0.870930","10 out of 10","9 out of 9","10 out of 10","0.892147","6 out of 10","7 out of 9","7 out of 10","0.902389","9 out of 10","7 out of 9","9 out of 10","0.493174","7 out of 10","7 out of 9","7 out of 10","0.161","6 out of 10","0 out of 9","6 out of 10"
"050054","SAN GORGONIO MEMORIAL HOSPITAL","600 NORTH HIGHLAND SPRINGS AVENUE","Banning","CA","92220","RIVERSIDE","0.855349","Not Available","Not Available","Not Available","0.871480","0 out of 10","0 out of 9","0 out of 10","0.878749","0 out of 10","6 out of 9","6 out of 10","0.511460","6 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"050055","CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS","3555 CESAR CHAVEZ STREET","San Francisco","CA","94110","SAN FRANCISCO","0.856181","Not Available","Not Available","Not Available","0.884883","2 out of 10","Not Available","2 out of 10","0.886406","Not Available","Not Available","Not Available","0.585022","2 out of 10","0 out of 9","2 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"050056","ANTELOPE VALLEY HOSPITAL","1600 W AVE J","Lancaster","CA","93534","LOS ANGELES","0.854583","5 out of 10","4 out of 9","5 out of 10","0.882412","1 out of 10","0 out of 9","1 out of 10","0.870326","0 out of 10","4 out of 9","4 out of 10","0.597810","1 out of 10","0 out of 9","1 out of 10","0.431","1 out of 10","0 out of 9","1 out of 10"
"050057","KAWEAH DELTA MEDICAL CENTER","400 W MINERAL KING AVE","Visalia","CA","93291","TULARE","0.861829","9 out of 10","9 out of 9","9 out of 10","0.900757","10 out of 10","9 out of 9","10 out of 10","0.881813","0 out of 10","5 out of 9","5 out of 10","0.492504","7 out of 10","8 out of 9","8 out of 10","0.114","7 out of 10","8 out of 9","8 out of 10"
"050058","GLENDALE MEM HOSPITAL & HLTH CENTER","1420 S CENTRAL AVE","Glendale","CA","91204","LOS ANGELES","0.865155","10 out of 10","9 out of 9","10 out of 10","0.890660","5 out of 10","0 out of 9","5 out of 10","0.897592","7 out of 10","7 out of 9","7 out of 10","0.392169","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"050060","COMMUNITY REGIONAL MEDICAL CENTER","2823 FRESNO STREET","Fresno","CA","93721","FRESNO","0.846684","0 out of 10","0 out of 9","0 out of 10","0.890544","5 out of 10","0 out of 9","5 out of 10","0.852853","0 out of 10","0 out of 9","0 out of 10","1.002674","0 out of 10","0 out of 9","0 out of 10","0.873","0 out of 10","0 out of 9","0 out of 10"
"050063","HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","1300 N VERMONT AVE","Los Angeles","CA","90027","LOS ANGELES","0.867152","10 out of 10","9 out of 9","10 out of 10","0.887671","3 out of 10","0 out of 9","3 out of 10","0.882705","1 out of 10","0 out of 9","1 out of 10","0.500179","7 out of 10","6 out of 9","7 out of 10","0.108","7 out of 10","6 out of 9","7 out of 10"
"050067","OAK VALLEY DISTRICT HOSPITAL","350 S OAK AVE","Oakdale","CA","95361","STANISLAUS","0.857626","Not Available","Not Available","Not Available","0.882637","Not Available","Not Available","Not Available","0.889445","Not Available","Not Available","Not Available","0.479258","8 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"050069","ST JOSEPH HOSPITAL","1100 WEST STEWART DR","Orange","CA","92868","ORANGE","0.846625","0 out of 10","0 out of 9","0 out of 10","0.875836","0 out of 10","3 out of 9","3 out of 10","0.850117","0 out of 10","0 out of 9","0 out of 10","0.356319","10 out of 10","9 out of 9","10 out of 10","0.177","6 out of 10","8 out of 9","8 out of 10"
"050070","KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO","1200 EL CAMINO REAL","South San Francisco","CA","94080","SAN MATEO","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.876994","Not Available","Not Available","Not Available","0.483725","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"050071","KAISER FOUNDATION HOSPITAL-SANTA CLARA","700 LAWRENCE EXPRESSWAY","Santa Clara","CA","95051","SANTA CLARA","0.846382","Not Available","Not Available","Not Available","0.877314","Not Available","Not Available","Not Available","0.880765","Not Available","Not Available","Not Available","0.503444","7 out of 10","5 out of 9","7 out of 10","0.231","5 out of 10","0 out of 9","5 out of 10"
"050072","KAISER FOUNDATION HOSPITAL - WALNUT CREEK","1425 S MAIN STREET","Walnut Creek","CA","94596","CONTRA COSTA","0.855941","Not Available","Not Available","Not Available","0.878081","Not Available","Not Available","Not Available","0.885811","Not Available","Not Available","Not Available","0.461498","9 out of 10","9 out of 9","9 out of 10","0.448","0 out of 10","1 out of 9","1 out of 10"
"050073","KAISER FOUNDATION HOSPITAL AND REHAB CENTER","975 SERENO DR","Vallejo","CA","94589","SOLANO","0.856916","Not Available","Not Available","Not Available","0.880053","Not Available","Not Available","Not Available","0.885036","Not Available","Not Available","Not Available","0.571983","3 out of 10","0 out of 9","3 out of 10","1.871","0 out of 10","0 out of 9","0 out of 10"
"050075","KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND","275 W MACARTHUR BOULEVARD","Oakland","CA","94611","ALAMEDA","0.855218","Not Available","Not Available","Not Available","0.880053","Not Available","Not Available","Not Available","0.885616","Not Available","Not Available","Not Available","0.559848","4 out of 10","1 out of 9","4 out of 10","0.137","7 out of 10","7 out of 9","7 out of 10"
"050076","KAISER FOUNDATION HOSPITAL - SAN FRANCISCO","2425 GEARY BLVD","San Francisco","CA","94115","SAN FRANCISCO","0.853150","Not Available","Not Available","Not Available","0.876708","Not Available","Not Available","Not Available","0.886391","Not Available","Not Available","Not Available","0.439706","10 out of 10","9 out of 9","10 out of 10","0.129","7 out of 10","6 out of 9","7 out of 10"
"050077","SCRIPPS MERCY HOSPITAL","4077 5TH AVE","San Diego","CA","92103","SAN DIEGO","0.855904","6 out of 10","0 out of 9","6 out of 10","0.879182","0 out of 10","0 out of 9","0 out of 10","0.884268","1 out of 10","0 out of 9","1 out of 10","0.382373","10 out of 10","9 out of 9","10 out of 10","0.678","0 out of 10","1 out of 9","1 out of 10"
"050078","PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO","1300 W 7TH ST","San Pedro","CA","90732","LOS ANGELES","0.854643","Not Available","Not Available","Not Available","0.877432","0 out of 10","2 out of 9","2 out of 10","0.880506","0 out of 10","1 out of 9","1 out of 10","0.581285","2 out of 10","0 out of 9","2 out of 10","1.193","0 out of 10","0 out of 9","0 out of 10"
"050079","DOCTORS MEDICAL CENTER - SAN PABLO","2000 VALE RD","San Pablo","CA","94806","CONTRA COSTA","0.851485","3 out of 10","0 out of 9","3 out of 10","0.890090","5 out of 10","0 out of 9","5 out of 10","0.870601","0 out of 10","0 out of 9","0 out of 10","0.519096","6 out of 10","5 out of 9","6 out of 10","1.322","0 out of 10","0 out of 9","0 out of 10"
"050082","ST JOHNS REGIONAL MEDICAL CENTER","1600 N ROSE AVE","Oxnard","CA","93030","VENTURA","0.875296","10 out of 10","9 out of 9","10 out of 10","0.897609","8 out of 10","8 out of 9","8 out of 10","0.883207","1 out of 10","0 out of 9","1 out of 10","0.660969","0 out of 10","0 out of 9","0 out of 10","0.174","6 out of 10","1 out of 9","6 out of 10"
"050084","ST JOSEPHS MEDICAL CENTER OF STOCKTON","1800 N CALIFORNIA ST","Stockton","CA","95204","SAN JOAQUIN","0.861155","9 out of 10","9 out of 9","9 out of 10","0.878131","0 out of 10","0 out of 9","0 out of 10","0.858149","0 out of 10","0 out of 9","0 out of 10","0.401952","10 out of 10","0 out of 9","10 out of 10","0.757","0 out of 10","0 out of 9","0 out of 10"
"050089","COMMUNITY HOSPITAL OF SAN BERNARDINO","1805 MEDICAL CENTER DRIVE","San Bernardino","CA","92411","SAN BERNARDINO","0.838964","Not Available","Not Available","Not Available","0.878136","Not Available","Not Available","Not Available","0.891743","Not Available","Not Available","Not Available","0.438552","10 out of 10","9 out of 9","10 out of 10","0.810","0 out of 10","0 out of 9","0 out of 10"
"050090","SONOMA VALLEY HOSPITAL","347 ANDRIEUX ST","Sonoma","CA","95476","SONOMA","0.852104","Not Available","Not Available","Not Available","0.869944","Not Available","Not Available","Not Available","0.881632","Not Available","Not Available","Not Available","0.565728","3 out of 10","0 out of 9","3 out of 10","Not Available","Not Available","Not Available","Not Available"
"050091","COMMUNITY HOSPITAL OF HUNTINGTON PARK","2623 E SLAUSON AVE","Huntington Park","CA","90255","LOS ANGELES","0.858095","Not Available","Not Available","Not Available","0.890217","Not Available","Not Available","Not Available","0.893726","Not Available","Not Available","Not Available","0.466845","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"050093","SAINT AGNES MEDICAL CENTER","1303 E HERNDON AVE","Fresno","CA","93720","FRESNO","0.859595","8 out of 10","5 out of 9","8 out of 10","0.867597","0 out of 10","0 out of 9","0 out of 10","0.840563","0 out of 10","0 out of 9","0 out of 10","0.459946","9 out of 10","9 out of 9","9 out of 10","0.545","0 out of 10","0 out of 9","0 out of 10"
"050099","SAN ANTONIO COMMUNITY HOSPITAL","999 SAN BERNARDINO RD","Upland","CA","91786","SAN BERNARDINO","0.874718","10 out of 10","9 out of 9","10 out of 10","0.879382","0 out of 10","0 out of 9","0 out of 10","0.882093","0 out of 10","0 out of 9","0 out of 10","0.456989","9 out of 10","9 out of 9","9 out of 10","1.293","0 out of 10","0 out of 9","0 out of 10"
"050100","SHARP MEMORIAL HOSPITAL","7901 FROST ST","San Diego","CA","92123","SAN DIEGO","0.858869","7 out of 10","7 out of 9","7 out of 10","0.892719","6 out of 10","5 out of 9","6 out of 10","0.885853","2 out of 10","0 out of 9","2 out of 10","0.495513","7 out of 10","8 out of 9","8 out of 10","0.274","4 out of 10","0 out of 9","4 out of 10"
"050101","SUTTER SOLANO MEDICAL CENTER","300 HOSPITAL DR","Vallejo","CA","94589","SOLANO","0.854390","Not Available","Not Available","Not Available","0.874354","Not Available","Not Available","Not Available","0.893103","5 out of 10","5 out of 9","5 out of 10","0.537840","5 out of 10","5 out of 9","5 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"050102","PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER","3865 JACKSON STREET","Riverside","CA","92503","RIVERSIDE","0.852535","Not Available","Not Available","Not Available","0.875466","0 out of 10","0 out of 9","0 out of 10","0.874345","0 out of 10","0 out of 9","0 out of 10","0.523278","6 out of 10","6 out of 9","6 out of 10","0.200","5 out of 10","8 out of 9","8 out of 10"
"050103","WHITE MEMORIAL MEDICAL CENTER","1720 E CESAR AVENUE","Los Angeles","CA","90033","LOS ANGELES","0.868109","10 out of 10","9 out of 9","10 out of 10","0.891425","5 out of 10","0 out of 9","5 out of 10","0.905314","10 out of 10","9 out of 9","10 out of 10","0.469341","8 out of 10","0 out of 9","8 out of 10","1.189","0 out of 10","0 out of 9","0 out of 10"
"050104","SAINT FRANCIS MEDICAL CENTER","3630 EAST IMPERIAL HIGHWAY","Lynwood","CA","90262","LOS ANGELES","0.864466","Not Available","Not Available","Not Available","0.899016","9 out of 10","8 out of 9","9 out of 10","0.894973","Not Available","Not Available","Not Available","0.579054","3 out of 10","0 out of 9","3 out of 10","2.041","0 out of 10","0 out of 9","0 out of 10"
"050107","MARIAN REGIONAL MEDICAL CENTER","1400 E CHURCH ST","Santa Maria","CA","93454","SANTA BARBARA","0.833338","0 out of 10","0 out of 9","0 out of 10","0.878370","0 out of 10","4 out of 9","4 out of 10","0.860602","0 out of 10","0 out of 9","0 out of 10","0.373550","10 out of 10","9 out of 9","10 out of 10","0.253","4 out of 10","3 out of 9","4 out of 10"
"050108","SUTTER GENERAL HOSPITAL","2801 L STREET","Sacramento","CA","95816","SACRAMENTO","0.866626","10 out of 10","9 out of 9","10 out of 10","0.868030","0 out of 10","0 out of 9","0 out of 10","0.869032","0 out of 10","0 out of 9","0 out of 10","0.389141","10 out of 10","0 out of 9","10 out of 10","0.072","8 out of 10","7 out of 9","8 out of 10"
